Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,key_resp_3.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_3.keys,key_resp_3.rt,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.014443899999605,16.014443899999605,4.9299997044727206e-05,[0.5951388888888889],[-0.40555555555555556],[1],[0],[0],[1.41810660000192],['image_next'],,,,,,,,,,,,,,,,,,867804,001,2023-09-29_14h49.39.303,Demo_timePStroop,2022.2.5,59.89587700598152,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,,,,,17.421705799992196,17.421705799992196,17.421705799992196,17.421705799992196,space,1.4005488000111654,23.278666799975326,23.278666799975326,23.278666799975326,23.278666799975326,23.278666799975326,23.278666799975326,23.278666799975326,space,None,0.6988236999895889,0.9784992999921087,867804,001,2023-09-29_14h49.39.303,Demo_timePStroop,2022.2.5,59.89587700598152,
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,,,,,,,,24.41618989998824,24.41618989998824,24.41618989998824,24.41618989998824,space,2.2319341999827884,31.7964110999892,31.7964110999892,31.7964110999892,31.7964110999892,31.7964110999892,31.7964110999892,31.7964110999892,space,None,0.994379099982325,29.157454000000143,867804,001,2023-09-29_14h49.39.303,Demo_timePStroop,2022.2.5,59.89587700598152,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.047959199990146,61.047959199990146,61.047959199990146,61.047959199990146,,,,,,,,,,,,,,,,,,,,
