Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_3.keys,key_resp_3.rt,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.322563100000025,29.322563100000025,7.099999993442907e-05,[0.6229166666666667],[-0.3909722222222222],[1],[0],[0],[1.9180235999999695],['image_next'],,,,,,,,,,,,,,,,,757799,001,2023-10-11_20h16.37.711,Demo_timePStroop,2022.2.5,60.06817738135375,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,,,,,,31.22926599999994,31.22926599999994,31.22926599999994,31.22926599999994,['space'],[0.7393691000000899],41.611586399999965,41.611586399999965,41.611586399999965,41.611586399999965,41.611586399999965,41.611586399999965,space,None,1.4270358999999644,0.8093505000000505,757799,001,2023-10-11_20h16.37.711,Demo_timePStroop,2022.2.5,60.06817738135375,
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,,,,,,,,,42.68269350000003,42.68269350000003,42.68269350000003,42.68269350000003,['space'],[0.6343815000000177],43.36110580000002,43.36110580000002,43.36110580000002,43.36110580000002,43.36110580000002,43.36110580000002,space,None,,1.4474549000000252,757799,001,2023-10-11_20h16.37.711,Demo_timePStroop,2022.2.5,60.06817738135375,
30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,0,2,2,2,,,,,,,,,,,,,,,,,,,45.023361499999965,45.023361499999965,45.023361499999965,45.023361499999965,['space'],[0.4013245999999526],59.98794869999995,59.98794869999995,59.98794869999995,59.98794869999995,59.98794869999995,59.98794869999995,space,None,0.4986904999999524,0.2074569999999767,757799,001,2023-10-11_20h16.37.711,Demo_timePStroop,2022.2.5,60.06817738135375,
105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,0,3,3,3,,,,,,,,,,,,,,,,,,,60.38433149999992,60.38433149999992,60.38433149999992,60.38433149999992,['space'],[1.3736717000000453],100.60642080000002,100.60642080000002,100.60642080000002,100.60642080000002,100.60642080000002,100.60642080000002,space,None,0.2968788999999106,2.3256829000000607,757799,001,2023-10-11_20h16.37.711,Demo_timePStroop,2022.2.5,60.06817738135375,
120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,0,4,4,4,,,,,,,,,,,,,,,,,,,103.22213709999994,103.22213709999994,103.22213709999994,103.22213709999994,['space'],[1.6371484999999666],112.21037489999992,112.21037489999992,112.21037489999992,112.21037489999992,112.21037489999992,112.21037489999992,space,None,2.823117899999943,2.5361441000000013,757799,001,2023-10-11_20h16.37.711,Demo_timePStroop,2022.2.5,60.06817738135375,
105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,0,5,5,5,,,,,,,,,,,,,,,,,,,114.95200599999998,114.95200599999998,114.95200599999998,114.95200599999998,['space'],[2.1311974999999848],179.06923519999987,179.06923519999987,179.06923519999987,179.06923519999987,179.06923519999987,179.06923519999987,space,None,1.1437589999998181,2.4613972000001922,757799,001,2023-10-11_20h16.37.711,Demo_timePStroop,2022.2.5,60.06817738135375,
60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,0,6,6,6,,,,,,,,,,,,,,,,,,,181.93808719999993,181.93808719999993,181.93808719999993,181.93808719999993,['space'],[0.75289070000008],244.3313487999999,244.3313487999999,244.3313487999999,244.3313487999999,244.3313487999999,244.3313487999999,space,None,0.30051770000000033,0.5767854000000625,757799,001,2023-10-11_20h16.37.711,Demo_timePStroop,2022.2.5,60.06817738135375,
60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,0,7,7,7,,,,,,,,,,,,,,,,,,,245.40847459999986,245.40847459999986,245.40847459999986,245.40847459999986,['space'],[0.737762900000007],284.14219189999994,284.14219189999994,284.14219189999994,284.14219189999994,284.14219189999994,284.14219189999994,space,None,4.155807200000027,0.9889987000001383,757799,001,2023-10-11_20h16.37.711,Demo_timePStroop,2022.2.5,60.06817738135375,
30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,0,8,8,8,,,,,,,,,,,,,,,,,,,285.6574198999999,285.6574198999999,285.6574198999999,285.6574198999999,['space'],[0.7950943999999254],348.8739072000001,348.8739072000001,348.8739072000001,348.8739072000001,348.8739072000001,348.8739072000001,space,None,0.28698609999992186,0.3347948999999062,757799,001,2023-10-11_20h16.37.711,Demo_timePStroop,2022.2.5,60.06817738135375,
