Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_3.keys,key_resp_3.rt,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.82373540000117,11.82373540000117,3.2800002372823656e-05,[0.6027777777777777],[-0.3909722222222222],[1],[0],[0],[0.9845230999926571],['image_next'],,,,,,,,,,,,,,,,,080489,001,2023-10-12_15h51.39.915,Demo_timePStroop,2022.2.5,60.02109141141276,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,,,,,,12.797475500003202,12.797475500003202,12.797475500003202,12.797475500003202,['space'],[0.9864389000140363],16.59146039999905,16.59146039999905,16.59146039999905,16.59146039999905,16.59146039999905,16.59146039999905,space,None,0.4569770999951288,0.3102820000058273,080489,001,2023-10-12_15h51.39.915,Demo_timePStroop,2022.2.5,60.02109141141276,
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,,,,,,,,,17.130188800001633,17.130188800001633,17.130188800001633,17.130188800001633,['space'],[0.6122846000071149],19.15613219999068,19.15613219999068,19.15613219999068,19.15613219999068,19.15613219999068,19.15613219999068,space,None,0.04980959999375045,0.7479425000055926,080489,001,2023-10-12_15h51.39.915,Demo_timePStroop,2022.2.5,60.02109141141276,
30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,0,2,2,2,,,,,,,,,,,,,,,,,,,20.202360399998724,20.202360399998724,20.202360399998724,20.202360399998724,['space'],[0.6866093000135152],20.93247899999551,20.93247899999551,20.93247899999551,20.93247899999551,20.93247899999551,20.93247899999551,space,None,,0.808293699999922,080489,001,2023-10-12_15h51.39.915,Demo_timePStroop,2022.2.5,60.02109141141276,
105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,0,3,3,3,,,,,,,,,,,,,,,,,,,21.914111399994,21.914111399994,21.914111399994,21.914111399994,['space'],[0.44830970000475645],22.406866899997112,22.406866899997112,22.406866899997112,22.406866899997112,22.406866899997112,22.406866899997112,space,None,,0.6260378000006313,080489,001,2023-10-12_15h51.39.915,Demo_timePStroop,2022.2.5,60.02109141141276,
120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,0,4,4,4,,,,,,,,,,,,,,,,,,,23.19380779999483,23.19380779999483,23.19380779999483,23.19380779999483,['space'],[0.6951736000046367],23.94688469999528,23.94688469999528,23.94688469999528,23.94688469999528,23.94688469999528,23.94688469999528,space,None,,0.504179200012004,080489,001,2023-10-12_15h51.39.915,Demo_timePStroop,2022.2.5,60.02109141141276,
105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,0,5,5,5,,,,,,,,,,,,,,,,,,,24.646266199997626,24.646266199997626,24.646266199997626,24.646266199997626,['space'],[0.3688084000023082],25.058020399999805,25.058020399999805,25.058020399999805,25.058020399999805,25.058020399999805,25.058020399999805,space,None,,0.8098762000008719,080489,001,2023-10-12_15h51.39.915,Demo_timePStroop,2022.2.5,60.02109141141276,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.100485299990396,26.100485299990396,26.100485299990396,26.100485299990396,,,,,,,,,,,,,,,,,,,
