Psubj,Attribute,Value,cond,Unique,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text.started,key_resp_4.started,text_instr.started,key_resp_4.keys,key_resp_4.rt,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_2.rt,Stroop_response.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,12.072812200000044,15.08180030004587,15.08180030004587,space,1.9763718000031076,,,,,,,,,,,,,,,,240786,001,2023-10-18_19h27.40.982,Main,2022.2.5,59.82582309565252,
1,est1,105,0.0,None,0,0,0,0,,,,,,,,,,,,,,20.26165540004149,20.26165540004149,20.26165540004149,20.26165540004149,['space'],[3.4401965999859385],24.37518920004368,24.37518920004368,24.37518920004368,24.37518920004368,24.37518920004368,24.37518920004368,space,3.1209541000425816,None,240786,001,2023-10-18_19h27.40.982,Main,2022.2.5,59.82582309565252,
1,est2,30,0.1,None,0,1,1,1,,,,,,,,,,,,,,27.764264600002207,27.764264600002207,27.764264600002207,27.764264600002207,['space'],[2.756190499989316],30.575005399994552,30.575005399994552,30.575005399994552,30.575005399994552,30.575005399994552,30.575005399994552,space,2.8943816000246443,None,240786,001,2023-10-18_19h27.40.982,Main,2022.2.5,59.82582309565252,
1,est3,120,0.1,None,0,2,2,2,,,,,,,,,,,,,,33.74671610002406,33.74671610002406,33.74671610002406,33.74671610002406,['space'],[1.6587803000002168],35.47393470001407,35.47393470001407,35.47393470001407,35.47393470001407,35.47393470001407,35.47393470001407,space,2.1328808999969624,None,240786,001,2023-10-18_19h27.40.982,Main,2022.2.5,59.82582309565252,
,,,,,,,,,,,,,,,,,,,,,,37.870259599993005,37.870259599993005,37.870259599993005,37.870259599993005,,,,,,,,,,,,,,,,,,
