Psubj,Attribute,Value,cond,Unique,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text_instr.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,10.70828950003488,10.70828950003488,space,1.9540478000417352,,,,,,,,,,,,,,,,,499666,001,2023-10-17_17h11.53.274,Main,2022.2.5,60.05674160805536,
1,est1,105,2,None,0,0,0,0,,,,,,,,,,,,,15.631027900031768,15.631027900031768,15.631027900031768,15.631027900031768,['space'],[2.404594800027553],18.086193400027696,18.086193400027696,18.086193400027696,18.086193400027696,18.086193400027696,18.086193400027696,space,2.0408784999744967,None,,499666,001,2023-10-17_17h11.53.274,Main,2022.2.5,60.05674160805536,
1,est2,30,1,None,0,1,1,1,,,,,,,,,,,,,20.41775520000374,20.41775520000374,20.41775520000374,20.41775520000374,['space'],[3.0521817000117153],28.244956200011075,28.244956200011075,28.244956200011075,28.244956200011075,28.244956200011075,28.244956200011075,space,0.7226493000052869,None,0.19583580002654344,499666,001,2023-10-17_17h11.53.274,Main,2022.2.5,60.05674160805536,
1,est3,120,1,None,0,2,2,2,,,,,,,,,,,,,29.27922500000568,29.27922500000568,29.27922500000568,29.27922500000568,['space'],[5.873544000030961],39.62950860004639,39.62950860004639,39.62950860004639,39.62950860004639,39.62950860004639,39.62950860004639,space,0.5035295999841765,None,0.12832109996816143,499666,001,2023-10-17_17h11.53.274,Main,2022.2.5,60.05674160805536,
1,est4,30,1,None,0,3,3,3,,,,,,,,,,,,,40.40521490003448,40.40521490003448,40.40521490003448,40.40521490003448,['space'],[3.2811799999908544],43.740208700008225,43.740208700008225,43.740208700008225,43.740208700008225,43.740208700008225,43.740208700008225,space,1.2681992000434548,None,,499666,001,2023-10-17_17h11.53.274,Main,2022.2.5,60.05674160805536,
1,est5,105,2,None,0,4,4,4,,,,,,,,,,,,,45.305777100031264,45.305777100031264,45.305777100031264,45.305777100031264,['space'],[31.36385550000705],76.70522940001683,76.70522940001683,76.70522940001683,76.70522940001683,76.70522940001683,76.70522940001683,space,0.6413357999990694,None,,499666,001,2023-10-17_17h11.53.274,Main,2022.2.5,60.05674160805536,
1,est6,120,1,None,0,5,5,5,,,,,,,,,,,,,77.605188800022,77.605188800022,77.605188800022,77.605188800022,['space'],[0.5581988000194542],78.20667980000144,78.20667980000144,78.20667980000144,78.20667980000144,78.20667980000144,78.20667980000144,space,0.320317400037311,None,,499666,001,2023-10-17_17h11.53.274,Main,2022.2.5,60.05674160805536,
1,est7,120,2,None,0,6,6,6,,,,,,,,,,,,,78.74481699999887,78.74481699999887,78.74481699999887,78.74481699999887,['space'],[0.7049927999614738],79.50346930004889,79.50346930004889,79.50346930004889,79.50346930004889,79.50346930004889,79.50346930004889,space,0.5559044000110589,None,,499666,001,2023-10-17_17h11.53.274,Main,2022.2.5,60.05674160805536,
1,est8,60,2,None,0,7,7,7,,,,,,,,,,,,,80.38381990004564,80.38381990004564,80.38381990004564,80.38381990004564,['space'],[1.6439280999475159],82.07590270001674,82.07590270001674,82.07590270001674,82.07590270001674,82.07590270001674,82.07590270001674,space,0.4949227000470273,None,,499666,001,2023-10-17_17h11.53.274,Main,2022.2.5,60.05674160805536,
1,est9,30,2,None,0,8,8,8,,,,,,,,,,,,,82.84624159999657,82.84624159999657,82.84624159999657,82.84624159999657,['space'],[0.5790632999851368],83.4778841000516,83.4778841000516,83.4778841000516,83.4778841000516,83.4778841000516,83.4778841000516,space,0.5618072999641299,None,,499666,001,2023-10-17_17h11.53.274,Main,2022.2.5,60.05674160805536,
1,est10,60,2,None,0,9,9,9,,,,,,,,,,,,,84.32733550004195,84.32733550004195,84.32733550004195,84.32733550004195,['space'],[1.2510720000136644],85.61845110001741,85.61845110001741,85.61845110001741,85.61845110001741,85.61845110001741,85.61845110001741,space,1.1300129999872297,None,,499666,001,2023-10-17_17h11.53.274,Main,2022.2.5,60.05674160805536,
1,est11,105,1,None,0,10,10,10,,,,,,,,,,,,,86.98663200001465,86.98663200001465,86.98663200001465,86.98663200001465,['space'],[0.5157422000193037],87.55955629999517,87.55955629999517,87.55955629999517,87.55955629999517,87.55955629999517,87.55955629999517,space,0.5166658000089228,None,,499666,001,2023-10-17_17h11.53.274,Main,2022.2.5,60.05674160805536,
1,est12,30,2,None,0,11,11,11,,,,,,,,,,,,,88.36431140004424,88.36431140004424,88.36431140004424,88.36431140004424,['space'],[0.6499105999828316],89.05562030000146,89.05562030000146,89.05562030000146,89.05562030000146,89.05562030000146,89.05562030000146,space,0.6680665999883786,None,,499666,001,2023-10-17_17h11.53.274,Main,2022.2.5,60.05674160805536,
1,est13,60,1,None,0,12,12,12,,,,,,,,,,,,,90.02140040002996,90.02140040002996,90.02140040002996,90.02140040002996,['space'],[1.0306953000253998],91.10374920000322,91.10374920000322,91.10374920000322,91.10374920000322,91.10374920000322,91.10374920000322,space,0.3507833000039682,None,,499666,001,2023-10-17_17h11.53.274,Main,2022.2.5,60.05674160805536,
