Psubj,Attribute,Value,cond,Unique,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text.started,key_resp_4.started,text_instr.started,key_resp_4.keys,key_resp_4.rt,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_2.rt,Stroop_response.keys,Stroop_response.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,13.30576039996231,16.316865300002974,16.316865300002974,space,1.4818356000469066,,,,,,,,,,,,,,,,,007385,001,2023-10-18_19h23.16.696,Main,2022.2.5,59.70017380454903,
1,est1,105,0.0,None,0,0,0,0,,,,,,,,,,,,,,20.9284556999919,20.9284556999919,20.9284556999919,20.9284556999919,['space'],[3.5656436999561265],25.155469799996354,25.155469799996354,25.155469799996354,25.155469799996354,25.155469799996354,25.155469799996354,space,3.8514634000021033,None,,007385,001,2023-10-18_19h23.16.696,Main,2022.2.5,59.70017380454903,
1,est2,30,0.1,None,0,1,1,1,,,,,,,,,,,,,,29.287302099983208,29.287302099983208,29.287302099983208,29.287302099983208,['space'],[3.6741426999797113],33.03102699998999,33.03102699998999,33.03102699998999,33.03102699998999,33.03102699998999,33.03102699998999,space,4.745830500032753,None,,007385,001,2023-10-18_19h23.16.696,Main,2022.2.5,59.70017380454903,
1,est3,120,0.1,None,0,2,2,2,,,,,,,,,,,,,,38.10214829997858,38.10214829997858,38.10214829997858,38.10214829997858,['space'],[3.4422808999661356],49.89009649999207,49.89009649999207,49.89009649999207,49.89009649999207,49.89009649999207,49.89009649999207,space,1.3708514000172727,None,0.2911270000040531,007385,001,2023-10-18_19h23.16.696,Main,2022.2.5,59.70017380454903,
,,,,,,,,,,,,,,,,,,,,,,51.558378599991556,51.558378599991556,51.558378599991556,51.558378599991556,['space'],[3.28670559998136],54.926556599966716,54.926556599966716,54.926556599966716,54.926556599966716,54.926556599966716,54.926556599966716,,,,,,,,,,,
