298.3579 	EXP 	text_6: autoDraw = True
298.3579 	EXP 	text_5: autoDraw = True
298.3579 	EXP 	stopl: autoDraw = True
298.3579 	EXP 	stopr: autoDraw = True
298.6469 	DATA 	Keypress: r
298.6590 	EXP 	New trial (rep=0, index=5): {'word': 'BLUE', 'color': 'blue', 'correct': 'b', 'rand': 0.1671787874652576}
298.7205 	EXP 	text_6: autoDraw = False
298.7205 	EXP 	text_5: autoDraw = False
298.7205 	EXP 	stopl: autoDraw = False
298.7205 	EXP 	stopr: autoDraw = False
298.7205 	EXP 	text_6: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
298.7205 	EXP 	text_6: autoDraw = True
298.7205 	EXP 	text_5: autoDraw = True
298.7205 	EXP 	stopl: autoDraw = True
298.7205 	EXP 	stopr: autoDraw = True
298.7978 	DATA 	Keypress: g
298.8091 	EXP 	New trial (rep=0, index=6): {'word': 'BLUE', 'color': 'green', 'correct': 'g', 'rand': 0.15603936871830648}
298.8240 	EXP 	text_6: autoDraw = False
298.8240 	EXP 	text_5: autoDraw = False
298.8240 	EXP 	stopl: autoDraw = False
298.8240 	EXP 	stopr: autoDraw = False
298.8240 	EXP 	text_6: foreColor = <psychopy.colors.Color: green, alpha=1.0>
298.8240 	EXP 	text_6: autoDraw = True
298.8240 	EXP 	text_5: autoDraw = True
298.8240 	EXP 	stopl: autoDraw = True
298.8240 	EXP 	stopr: autoDraw = True
299.0256 	EXP 	New trial (rep=0, index=7): {'word': 'BLUE', 'color': 'blue', 'correct': 'b', 'rand': 0.8003009800523219}
299.0366 	DATA 	Keypress: r
299.0409 	EXP 	text_6: autoDraw = False
299.0409 	EXP 	text_5: autoDraw = False
299.0409 	EXP 	stopl: autoDraw = False
299.0409 	EXP 	stopr: autoDraw = False
299.0409 	EXP 	text_6: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
299.0409 	EXP 	text_6: autoDraw = True
299.0409 	EXP 	text_5: autoDraw = True
299.0409 	EXP 	stopl: autoDraw = True
299.0409 	EXP 	stopr: autoDraw = True
299.1248 	EXP 	New trial (rep=0, index=8): {'word': 'RED', 'color': 'blue', 'correct': 'b', 'rand': 0.3419212477383132}
299.1354 	DATA 	Keypress: g
299.1405 	EXP 	text_6: autoDraw = False
299.1405 	EXP 	text_5: autoDraw = False
299.1405 	EXP 	stopl: autoDraw = False
299.1405 	EXP 	stopr: autoDraw = False
299.1405 	EXP 	text_6: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
299.1405 	EXP 	text_6: autoDraw = True
299.1405 	EXP 	text_5: autoDraw = True
299.1405 	EXP 	stopl: autoDraw = True
299.1405 	EXP 	stopr: autoDraw = True
299.2920 	EXP 	New trial (rep=0, index=9): {'word': 'BLUE', 'color': 'red', 'correct': 'r', 'rand': 0.942838271285997}
299.3025 	DATA 	Keypress: r
299.3073 	EXP 	text_6: autoDraw = False
299.3073 	EXP 	text_5: autoDraw = False
299.3073 	EXP 	stopl: autoDraw = False
299.3073 	EXP 	stopr: autoDraw = False
299.3073 	EXP 	text_6: foreColor = <psychopy.colors.Color: red, alpha=1.0>
299.3073 	EXP 	text_6: autoDraw = True
299.3073 	EXP 	text_5: autoDraw = True
299.3073 	EXP 	stopl: autoDraw = True
299.3073 	EXP 	stopr: autoDraw = True
299.3754 	EXP 	New trial (rep=0, index=10): {'word': 'YELLOW', 'color': 'red', 'correct': 'r', 'rand': 0.9662292671790624}
299.3855 	DATA 	Keypress: g
299.3903 	EXP 	text_6: autoDraw = False
299.3903 	EXP 	text_5: autoDraw = False
299.3903 	EXP 	stopl: autoDraw = False
