Psubj,Attribute,Value,cond,Unique,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text.started,text.stopped,key_resp_4.started,text_instr.started,key_resp_4.keys,key_resp_4.rt,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_2.rt,Stroop_response.keys,Stroop_response.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,34.351250600011554,37.35439759999281,37.35439759999281,37.35439759999281,space,0.8541601999895647,,,,,,,,,,,,,,,,,077603,001,2023-10-18_19h25.57.149,Main,2022.2.5,59.76711146048025,
1,est1,105,0.0,None,0,0,0,0,,,,,,,,,,,,,,,41.36879179999232,41.36879179999232,41.36879179999232,41.36879179999232,['space'],[2.8648673000279814],44.89524059998803,44.89524059998803,44.89524059998803,44.89524059998803,44.89524059998803,44.89524059998803,space,3.2962263000081293,None,,077603,001,2023-10-18_19h25.57.149,Main,2022.2.5,59.76711146048025,
1,est2,30,0.1,None,0,1,1,1,,,,,,,,,,,,,,,48.44481030001771,48.44481030001771,48.44481030001771,48.44481030001771,['space'],[3.7303126000333577],52.3212808999815,52.3212808999815,52.3212808999815,52.3212808999815,52.3212808999815,52.3212808999815,space,5.117418700014241,None,,077603,001,2023-10-18_19h25.57.149,Main,2022.2.5,59.76711146048025,
1,est3,120,0.1,None,0,2,2,2,,,,,,,,,,,,,,,57.690797900024336,57.690797900024336,57.690797900024336,57.690797900024336,['space'],[5.7005496000056155],66.19436169997789,66.19436169997789,66.19436169997789,66.19436169997789,66.19436169997789,66.19436169997789,space,2.0955391999450512,None,0.2442287000012584,077603,001,2023-10-18_19h25.57.149,Main,2022.2.5,59.76711146048025,
1,est4,30,0.1,None,0,3,3,3,,,,,,,,,,,,,,,68.54767260001972,68.54767260001972,68.54767260001972,68.54767260001972,['space'],[3.285947199969087],71.90842709998833,71.90842709998833,71.90842709998833,71.90842709998833,71.90842709998833,71.90842709998833,space,2.4498026999644935,None,,077603,001,2023-10-18_19h25.57.149,Main,2022.2.5,59.76711146048025,
,,,,,,,,,,,,,,,,,,,,,,,74.61955830000807,74.61955830000807,74.61955830000807,74.61955830000807,,,,,,,,,,,,,,,,,,,
