Psubj,Attribute,Value,cond,Unique,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,textbox.started,textbox.stopped,key_resp_9.started,textbox_2.started,polygon.started,key_resp_9.keys,key_resp_9.rt,key_resp_4.started,textbox_3.started,key_resp_4.keys,key_resp_4.rt,key_resp.started,text_4.started,text_2.started,text_3.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_6.started,text_5.started,stopb.started,stopl.started,stopr.started,key_resp_2.keys,key_resp_2.rt,Stroop_response.keys,Stroop_response.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,8.981720399999176,13.981712000000698,13.981712000000698,13.981712000000698,13.981712000000698,space,2.4608904000051552,,,,,,,,,,,,,,,,,,,,,089771,001,2023-11-09_14h07.24.258,Main,2022.2.5,59.1214668280049,
,,,,,,,,,,,,,,,,,,,,,,,,16.464535399998567,16.464535399998567,space,6.596734300001117,,,,,,,,,,,,,,,,,089771,001,2023-11-09_14h07.24.258,Main,2022.2.5,59.1214668280049,
1,est1,105,0.0,None,0,0,0,0,,,,,,,,,,,,,,,,,,,,25.9586077999993,25.9586077999993,25.9586077999993,25.9586077999993,['space'],[1.0635020000008808],28.08094119999805,28.08094119999805,28.08094119999805,28.08094119999805,28.08094119999805,28.08094119999805,space,1.6140599000027578,None,,089771,001,2023-11-09_14h07.24.258,Main,2022.2.5,59.1214668280049,
1,est2,30,0.1,None,0,1,1,1,,,,,,,,,,,,,,,,,,,,29.733080199999677,29.733080199999677,29.733080199999677,29.733080199999677,['space'],[0.6654048999989755],52.27278339999975,52.27278339999975,52.27278339999975,52.27278339999975,52.27278339999975,52.27278339999975,space,0.9266554000023461,None,1.7115260000027774,089771,001,2023-11-09_14h07.24.258,Main,2022.2.5,59.1214668280049,
1,est3,120,0.1,None,0,2,2,2,,,,,,,,,,,,,,,,,,,,53.282470699999976,53.282470699999976,53.282470699999976,53.282470699999976,['space'],[0.2910422000022663],289.41526729999896,289.41526729999896,289.41526729999896,289.41526729999896,289.41526729999896,289.41526729999896,space,0.5784987000042747,None,0.0859604000033869,089771,001,2023-11-09_14h07.24.258,Main,2022.2.5,59.1214668280049,
1,est4,30,0.1,None,0,3,3,3,,,,,,,,,,,,,,,,,,,,290.0140786999982,290.0140786999982,290.0140786999982,290.0140786999982,['space'],[0.7342339999995602],293.5512474999996,293.5512474999996,293.5512474999996,293.5512474999996,293.5512474999996,293.5512474999996,space,1.9513692000000447,None,0.12561590000404976,089771,001,2023-11-09_14h07.24.258,Main,2022.2.5,59.1214668280049,
1,est5,105,0.0,None,0,4,4,4,,,,,,,,,,,,,,,,,,,,295.60152369999923,295.60152369999923,295.60152369999923,295.60152369999923,['space'],[0.8106145000019751],296.562322400001,296.562322400001,296.562322400001,296.562322400001,296.562322400001,296.562322400001,space,0.6336037000000942,None,,089771,001,2023-11-09_14h07.24.258,Main,2022.2.5,59.1214668280049,
1,est6,120,0.1,None,0,5,5,5,,,,,,,,,,,,,,,,,,,,297.2289168999996,297.2289168999996,297.2289168999996,297.2289168999996,['space'],[0.3942557000009401],312.2262260999996,312.2262260999996,312.2262260999996,312.2262260999996,312.2262260999996,312.2262260999996,space,5.470354700002645,None,0.16482730000279844,089771,001,2023-11-09_14h07.24.258,Main,2022.2.5,59.1214668280049,
1,est7,120,0.0,None,0,6,6,6,,,,,,,,,,,,,,,,,,,,317.74787749999814,317.74787749999814,317.74787749999814,317.74787749999814,['space'],[0.5353345000039553],318.41929249999885,318.41929249999885,318.41929249999885,318.41929249999885,318.41929249999885,318.41929249999885,space,1.4219328000035603,None,,089771,001,2023-11-09_14h07.24.258,Main,2022.2.5,59.1214668280049,
1,est8,60,0.0,None,0,7,7,7,,,,,,,,,,,,,,,,,,,,319.8808148999997,319.8808148999997,319.8808148999997,319.8808148999997,['space'],[0.5065823000004457],320.5703519999988,320.5703519999988,320.5703519999988,320.5703519999988,320.5703519999988,320.5703519999988,space,0.8514017000015883,None,,089771,001,2023-11-09_14h07.24.258,Main,2022.2.5,59.1214668280049,
1,est9,30,0.0,None,0,8,8,8,,,,,,,,,,,,,,,,,,,,321.4567599000002,321.4567599000002,321.4567599000002,321.4567599000002,['space'],[0.3194489000015892],321.96716169999854,321.96716169999854,321.96716169999854,321.96716169999854,321.96716169999854,321.96716169999854,space,0.48751289999927394,None,,089771,001,2023-11-09_14h07.24.258,Main,2022.2.5,59.1214668280049,
1,est10,60,0.0,None,0,9,9,9,,,,,,,,,,,,,,,,,,,,322.5024252999974,322.5024252999974,322.5024252999974,322.5024252999974,['space'],[0.3055320000021311],323.0111930999992,323.0111930999992,323.0111930999992,323.0111930999992,323.0111930999992,323.0111930999992,space,0.6105987000046298,None,,089771,001,2023-11-09_14h07.24.258,Main,2022.2.5,59.1214668280049,
1,est11,105,0.1,None,0,10,10,10,,,,,,,,,,,,,,,,,,,,323.6541251999988,323.6541251999988,323.6541251999988,323.6541251999988,['space'],[0.4184545000025537],328.93711039999835,328.93711039999835,328.93711039999835,328.93711039999835,328.93711039999835,328.93711039999835,space,8.638251200001832,None,0.15894250000201282,089771,001,2023-11-09_14h07.24.258,Main,2022.2.5,59.1214668280049,
