Psubj,Attribute,Value,cond,Unique,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,textbox.started,key_resp_9.started,textbox_2.started,polygon.started,key_resp_9.keys,key_resp_4.started,textbox_3.started,textbox_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp.started,text_4.started,text_2.started,text_3.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_6.started,text_5.started,stopb.started,stopl.started,stopr.started,key_resp_2.keys,key_resp_2.rt,Stroop_response.keys,Stroop_response.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,15.129957299912348,20.14071820001118,20.14071820001118,20.14071820001118,None,,,,,,,,,,,,,,,,,,,,,,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
,,,,,,,,,,,,,,,,,,,,,,200.13607180002145,200.13607180002145,220.14641389995813,space,37.33874709997326,,,,,,,,,,,,,,,,,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est1,105,0.0,None,0,0,0,0,,,,,,,,,,,,,,,,,,,240.504017499974,240.504017499974,240.504017499974,240.504017499974,['space'],[15.472791699925438],257.14408739993814,257.14408739993814,257.14408739993814,257.14408739993814,257.14408739993814,257.14408739993814,space,105.99950410006568,None,,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est2,30,0.1,None,0,1,1,1,,,,,,,,,,,,,,,,,,,363.1788918999955,363.1788918999955,363.1788918999955,363.1788918999955,['space'],[5.958715399960056],411.3042659999337,411.3042659999337,411.3042659999337,411.3042659999337,411.3042659999337,411.3042659999337,space,0.4243663999950513,None,0.0017811000579968095,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est3,120,0.1,None,0,2,2,2,,,,,,,,,,,,,,,,,,,411.79710179998074,411.79710179998074,411.79710179998074,411.79710179998074,['space'],[6.073792899958789],540.1823175000027,540.1823175000027,540.1823175000027,540.1823175000027,540.1823175000027,540.1823175000027,space,2.376866800012067,None,9.89299610001035,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est4,30,0.1,None,0,3,3,3,,,,,,,,,,,,,,,,,,,542.5941652000183,542.5941652000183,542.5941652000183,542.5941652000183,['space'],[7.376641499926336],603.2450819999212,603.2450819999212,603.2450819999212,603.2450819999212,603.2450819999212,603.2450819999212,space,0.3063187999650836,None,0.5072417999617755,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est5,105,0.0,None,0,4,4,4,,,,,,,,,,,,,,,,,,,603.5803040999454,603.5803040999454,603.5803040999454,603.5803040999454,['space'],[1.431123400107026],605.3719754000194,605.3719754000194,605.3719754000194,605.3719754000194,605.3719754000194,605.3719754000194,space,143.31305090000387,None,,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est6,120,0.1,None,0,5,5,5,,,,,,,,,,,,,,,,,,,748.7171857999638,748.7171857999638,748.7171857999638,748.7171857999638,['space'],[20.078244699980132],835.7246660999954,835.7246660999954,835.7246660999954,835.7246660999954,835.7246660999954,835.7246660999954,space,9.434572599944659,None,0.22250200004782528,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est7,120,0.0,None,0,6,6,6,,,,,,,,,,,,,,,,,,,845.2106911999872,845.2106911999872,845.2106911999872,845.2106911999872,['space'],[1.0779562999960035],846.6463669999503,846.6463669999503,846.6463669999503,846.6463669999503,846.6463669999503,846.6463669999503,space,165.34598370001186,None,,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est8,60,0.0,None,0,7,7,7,,,,,,,,,,,,,,,,,,,1012.029502099962,1012.029502099962,1012.029502099962,1012.029502099962,['space'],[4.440456200041808],1016.7930954999756,1016.7930954999756,1016.7930954999756,1016.7930954999756,1016.7930954999756,1016.7930954999756,space,74.6475497999927,None,,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est9,30,0.0,None,0,8,8,8,,,,,,,,,,,,,,,,,,,1091.4620248000138,1091.4620248000138,1091.4620248000138,1091.4620248000138,['space'],[3.1188511999789625],1130.3664107000222,1130.3664107000222,1130.3664107000222,1130.3664107000222,1130.3664107000222,1130.3664107000222,space,35.07309239997994,None,35.44486270006746,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est10,60,0.0,None,0,9,9,9,,,,,,,,,,,,,,,,,,,1165.4721487999195,1165.4721487999195,1165.4721487999195,1165.4721487999195,['space'],[4.021047299960628],1231.2705370999174,1231.2705370999174,1231.2705370999174,1231.2705370999174,1231.2705370999174,1231.2705370999174,space,2.381387299974449,None,61.41448409995064,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est11,105,0.1,None,0,10,10,10,,,,,,,,,,,,,,,,,,,1233.6690185000189,1233.6690185000189,1233.6690185000189,1233.6690185000189,['space'],[6.7637553999666125],1325.8064893999835,1325.8064893999835,1325.8064893999835,1325.8064893999835,1325.8064893999835,1325.8064893999835,space,0.3097708000568673,None,0.03372840001247823,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est12,30,0.0,None,0,11,11,11,,,,,,,,,,,,,,,,,,,1326.167183100013,1326.167183100013,1326.167183100013,1326.167183100013,['space'],[2.186745399958454],1328.6388061000034,1328.6388061000034,1328.6388061000034,1328.6388061000034,1328.6388061000034,1328.6388061000034,space,41.08272910001688,None,,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est13,60,0.1,None,0,12,12,12,,,,,,,,,,,,,,,,,,,1369.7440211999929,1369.7440211999929,1369.7440211999929,1369.7440211999929,['space'],[2.7518052000086755],1450.2353360999841,1450.2353360999841,1450.2353360999841,1450.2353360999841,1450.2353360999841,1450.2353360999841,space,1.6178684999467805,None,0.7540126000531018,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est14,105,0.0,None,0,13,13,13,,,,,,,,,,,,,,,,,,,1451.8849148999434,1451.8849148999434,1451.8849148999434,1451.8849148999434,['space'],[3.715841800090857],1455.8402801000047,1455.8402801000047,1455.8402801000047,1455.8402801000047,1455.8402801000047,1455.8402801000047,space,161.0637851000065,None,,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est15,105,0.1,None,0,14,14,14,,,,,,,,,,,,,,,,,,,1616.9342325999169,1616.9342325999169,1616.9342325999169,1616.9342325999169,['space'],[3.2387855000561103],1714.2373927999288,1714.2373927999288,1714.2373927999288,1714.2373927999288,1714.2373927999288,1714.2373927999288,space,3.330834300024435,None,0.4283377000829205,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est16,120,0.0,None,0,15,15,15,,,,,,,,,,,,,,,,,,,1717.6569924999494,1717.6569924999494,1717.6569924999494,1717.6569924999494,['space'],[6.2068310000468045],1724.0967278999742,1724.0967278999742,1724.0967278999742,1724.0967278999742,1724.0967278999742,1724.0967278999742,space,137.29460530006327,None,,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est17,120,0.1,None,0,16,16,16,,,,,,,,,,,,,,,,,,,1861.40924790001,1861.40924790001,1861.40924790001,1861.40924790001,['space'],[3.261897600023076],2006.3471417999826,2006.3471417999826,2006.3471417999826,2006.3471417999826,2006.3471417999826,2006.3471417999826,space,1.490784200024791,None,0.2676004000240937,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est18,105,0.0,None,0,17,17,17,,,,,,,,,,,,,,,,,,,2007.929769499926,2007.929769499926,2007.929769499926,2007.929769499926,['space'],[7.767370100016706],2015.9271181999939,2015.9271181999939,2015.9271181999939,2015.9271181999939,2015.9271181999939,2015.9271181999939,space,125.77902150002774,None,,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
1,est19,60,0.1,None,0,18,18,18,,,,,,,,,,,,,,,,,,,2141.722871499951,2141.722871499951,2141.722871499951,2141.722871499951,['space'],[4.796821299940348],2231.096463099937,2231.096463099937,2231.096463099937,2231.096463099937,2231.096463099937,2231.096463099937,space,1.2558252998860553,None,0.2734532000031322,712021,001,2023-10-25_15h53.53.438,Main,2022.2.5,59.906856848985115,
