Psubj,Attribute,Value,cond,Unique,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text.started,text.stopped,text_7.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,key_resp_4.started,text_instr.started,key_resp_4.keys,key_resp_4.rt,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_2.rt,Stroop_response.keys,Stroop_response.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,10.459531900007278,13.465771400020458,13.465771400020458,13.465771400020458,space,0.6244253000477329,,,,,,,,,,,,,,,,,,,,,346794,001,2023-10-19_17h31.38.000,Main,2022.2.5,60.08911214631814,
,,,,,,,,,,,,,,,,,,,,,,,14.116457400028594,14.116457400028594,space,1.2402230999432504,,,,,,,,,,,,,,,,,346794,001,2023-10-19_17h31.38.000,Main,2022.2.5,60.08911214631814,
1,est1,105,0.0,None,0,0,0,0,,,,,,,,,,,,,,,,,,,18.317526899976656,18.317526899976656,18.317526899976656,18.317526899976656,['space'],[2.0511527999769896],21.769013700075448,21.769013700075448,21.769013700075448,21.769013700075448,21.769013700075448,21.769013700075448,space,0.8055020000319928,None,,346794,001,2023-10-19_17h31.38.000,Main,2022.2.5,60.08911214631814,
1,est2,30,0.1,None,0,1,1,1,,,,,,,,,,,,,,,,,,,22.59966649999842,22.59966649999842,22.59966649999842,22.59966649999842,['space'],[0.495821800082922],23.24891770002432,23.24891770002432,23.24891770002432,23.24891770002432,23.24891770002432,23.24891770002432,space,4.571634800056927,None,,346794,001,2023-10-19_17h31.38.000,Main,2022.2.5,60.08911214631814,
1,est3,120,0.1,None,0,2,2,2,,,,,,,,,,,,,,,,,,,27.9556119000772,27.9556119000772,27.9556119000772,27.9556119000772,['space'],[0.437214000034146],28.53599570004735,28.53599570004735,28.53599570004735,28.53599570004735,28.53599570004735,28.53599570004735,space,14.899863900034688,None,,346794,001,2023-10-19_17h31.38.000,Main,2022.2.5,60.08911214631814,
1,est4,30,0.1,None,0,3,3,3,,,,,,,,,,,,,,,,,,,43.68302009999752,43.68302009999752,43.68302009999752,43.68302009999752,['space'],[0.6076542000519112],48.04980140004773,48.04980140004773,48.04980140004773,48.04980140004773,48.04980140004773,48.04980140004773,space,1.4630099999485537,None,2.4131898999912664,346794,001,2023-10-19_17h31.38.000,Main,2022.2.5,60.08911214631814,
1,est5,105,0.0,None,0,4,4,4,,,,,,,,,,,,,,,,,,,49.6737680999795,49.6737680999795,49.6737680999795,49.6737680999795,['space'],[2.3905855999328196],52.211566200014204,52.211566200014204,52.211566200014204,52.211566200014204,52.211566200014204,52.211566200014204,space,1.1514411000534892,None,,346794,001,2023-10-19_17h31.38.000,Main,2022.2.5,60.08911214631814,
1,est6,120,0.1,None,0,5,5,5,,,,,,,,,,,,,,,,,,,53.39095030003227,53.39095030003227,53.39095030003227,53.39095030003227,['space'],[0.42644740000832826],53.97420360008255,53.97420360008255,53.97420360008255,53.97420360008255,53.97420360008255,53.97420360008255,space,0.6337747999932617,None,,346794,001,2023-10-19_17h31.38.000,Main,2022.2.5,60.08911214631814,
1,est7,120,0.0,None,0,6,6,6,,,,,,,,,,,,,,,,,,,54.88870130002033,54.88870130002033,54.88870130002033,54.88870130002033,['space'],[1.282409799983725],56.332072100020014,56.332072100020014,56.332072100020014,56.332072100020014,56.332072100020014,56.332072100020014,space,0.8979942000005394,None,,346794,001,2023-10-19_17h31.38.000,Main,2022.2.5,60.08911214631814,
,,,,,,,,,,,,,,,,,,,,,,,,,,,57.25465770007577,57.25465770007577,57.25465770007577,57.25465770007577,,,,,,,,,,,,,,,,,,,
