Psubj,Attribute,Value,cond,Unique,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,textbox.started,key_resp_9.started,textbox_2.started,polygon.started,key_resp_9.keys,key_resp_4.started,textbox_3.started,textbox_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp.started,text_4.started,text_2.started,text_3.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_6.started,text_5.started,stopb.started,stopl.started,stopr.started,key_resp_2.keys,Stroop_response.keys,Stroop_response.rt,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,76.43824809999933,81.4404427999998,81.4404427999998,81.4404427999998,None,,,,,,,,,,,,,,,,,,,,,,465655,001,2023-11-09_09h28.55.249,Main,2022.2.5,59.90348350740951,
,,,,,,,,,,,,,,,,,,,,,,261.4528228999998,261.4528228999998,281.46179309999934,space,22.033956900000703,,,,,,,,,,,,,,,,,465655,001,2023-11-09_09h28.55.249,Main,2022.2.5,59.90348350740951,
1,est1,105,0.0,None,0,0,0,0,,,,,,,,,,,,,,,,,,,286.38628359999984,286.38628359999984,286.38628359999984,286.38628359999984,['space'],[2.699079800000618],299.59029329999976,299.59029329999976,299.59029329999976,299.59029329999976,299.59029329999976,299.59029329999976,space,None,0.028942500000994187,8.25875200000064,465655,001,2023-11-09_09h28.55.249,Main,2022.2.5,59.90348350740951,
1,est2,30,0.1,None,0,1,1,1,,,,,,,,,,,,,,,,,,,307.87772529999984,307.87772529999984,307.87772529999984,307.87772529999984,['space'],[0.6078530000004321],626.3400904999999,626.3400904999999,626.3400904999999,626.3400904999999,626.3400904999999,626.3400904999999,space,None,0.11292150000008405,0.5048938999998427,465655,001,2023-11-09_09h28.55.249,Main,2022.2.5,59.90348350740951,
1,est3,120,0.1,None,0,2,2,2,,,,,,,,,,,,,,,,,,,626.8805171999993,626.8805171999993,626.8805171999993,626.8805171999993,['space'],[0.6084190000001399],627.6406697999992,627.6406697999992,627.6406697999992,627.6406697999992,627.6406697999992,627.6406697999992,space,None,,1.0960374000005686,465655,001,2023-11-09_09h28.55.249,Main,2022.2.5,59.90348350740951,
,,,,,,,,,,,,,,,,,,,,,,,,,,,628.7566749999996,628.7566749999996,628.7566749999996,628.7566749999996,,,,,,,,,,,,,,,,,,,
