Psubj,Attribute,Value,cond,Unique,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text.started,text.stopped,text_7.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,key_resp_4.started,text_instr.started,key_resp_4.keys,key_resp_4.rt,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_2.rt,Stroop_response.keys,participant,session,date,expName,psychopyVersion,frameRate,
1,est2,30,0.1,None,0,1,1,1,,,,,,,,,,,,,,,,,,,79.68704300001264,79.68704300001264,79.68704300001264,79.68704300001264,['space'],[0.417155799921602],80.33841229998507,80.33841229998507,80.33841229998507,80.33841229998507,80.33841229998507,80.33841229998507,space,0.6170414000516757,None,988404,001,2023-10-19_18h20.32.022,Main,2022.2.5,60.000888047844974,
1,est3,120,0.1,None,0,2,2,2,,,,,,,,,,,,,,,,,,,81.07388449995779,81.07388449995779,81.07388449995779,81.07388449995779,['space'],[0.2543949999380857],81.5984040000476,81.5984040000476,81.5984040000476,81.5984040000476,81.5984040000476,81.5984040000476,space,-0.013765000039711595,None,988404,001,2023-10-19_18h20.32.022,Main,2022.2.5,60.000888047844974,
1,est4,30,0.1,None,0,3,3,3,,,,,,,,,,,,,,,,,,,81.68058389995713,81.68058389995713,81.68058389995713,81.68058389995713,['space'],[0.18437040003482252],82.02068419998977,82.02068419998977,82.02068419998977,82.02068419998977,82.02068419998977,82.02068419998977,space,0.10643090005032718,None,988404,001,2023-10-19_18h20.32.022,Main,2022.2.5,60.000888047844974,
1,est5,105,0.0,None,0,4,4,4,,,,,,,,,,,,,,,,,,,82.2083580000326,82.2083580000326,82.2083580000326,82.2083580000326,['space'],[0.13849250006023794],82.57611180003732,82.57611180003732,82.57611180003732,82.57611180003732,82.57611180003732,82.57611180003732,space,0.16459390008822083,None,988404,001,2023-10-19_18h20.32.022,Main,2022.2.5,60.000888047844974,
1,est6,120,0.1,None,0,5,5,5,,,,,,,,,,,,,,,,,,,82.77977000002284,82.77977000002284,82.77977000002284,82.77977000002284,['space'],[0.15772320004180074],83.16024650004692,83.16024650004692,83.16024650004692,83.16024650004692,83.16024650004692,83.16024650004692,space,0.15458929992746562,None,988404,001,2023-10-19_18h20.32.022,Main,2022.2.5,60.000888047844974,
1,est7,120,0.0,None,0,6,6,6,,,,,,,,,,,,,,,,,,,83.34702330001164,83.34702330001164,83.34702330001164,83.34702330001164,['space'],[0.14051109994761646],83.74630080000497,83.74630080000497,83.74630080000497,83.74630080000497,83.74630080000497,83.74630080000497,space,0.09185820003040135,None,988404,001,2023-10-19_18h20.32.022,Main,2022.2.5,60.000888047844974,
1,est8,60,0.0,None,0,7,7,7,,,,,,,,,,,,,,,,,,,83.86639550002292,83.86639550002292,83.86639550002292,83.86639550002292,['space'],[0.15850630006752908],84.19359569996595,84.19359569996595,84.19359569996595,84.19359569996595,84.19359569996595,84.19359569996595,space,0.010779600008390844,None,988404,001,2023-10-19_18h20.32.022,Main,2022.2.5,60.000888047844974,
1,est9,30,0.0,None,0,8,8,8,,,,,,,,,,,,,,,,,,,84.22374929999933,84.22374929999933,84.22374929999933,84.22374929999933,['space'],[0.16231429995968938],84.59488290001173,84.59488290001173,84.59488290001173,84.59488290001173,84.59488290001173,84.59488290001173,space,0.15093240002170205,None,988404,001,2023-10-19_18h20.32.022,Main,2022.2.5,60.000888047844974,
1,est10,60,0.0,None,0,9,9,9,,,,,,,,,,,,,,,,,,,84.76520270004403,84.76520270004403,84.76520270004403,84.76520270004403,['space'],[0.1682328999741003],85.18082090001553,85.18082090001553,85.18082090001553,85.18082090001553,85.18082090001553,85.18082090001553,space,0.14096089999657124,None,988404,001,2023-10-19_18h20.32.022,Main,2022.2.5,60.000888047844974,
1,est11,105,0.1,None,0,10,10,10,,,,,,,,,,,,,,,,,,,85.34832210000604,85.34832210000604,85.34832210000604,85.34832210000604,['space'],[0.1497211999958381],85.66337820002809,85.66337820002809,85.66337820002809,85.66337820002809,85.66337820002809,85.66337820002809,space,0.006800899980589747,None,988404,001,2023-10-19_18h20.32.022,Main,2022.2.5,60.000888047844974,
1,est12,30,0.0,None,0,11,11,11,,,,,,,,,,,,,,,,,,,85.7918979000533,85.7918979000533,85.7918979000533,85.7918979000533,['space'],[0.04331889993045479],85.99508549994789,85.99508549994789,85.99508549994789,85.99508549994789,85.99508549994789,85.99508549994789,space,0.020386100048199296,None,988404,001,2023-10-19_18h20.32.022,Main,2022.2.5,60.000888047844974,
1,est13,60,0.1,None,0,12,12,12,,,,,,,,,,,,,,,,,,,86.03789120004512,86.03789120004512,86.03789120004512,86.03789120004512,['space'],[0.15744270000141114],86.3565747999819,86.3565747999819,86.3565747999819,86.3565747999819,86.3565747999819,86.3565747999819,space,0.028206099988892674,None,988404,001,2023-10-19_18h20.32.022,Main,2022.2.5,60.000888047844974,
1,est14,105,0.0,None,0,13,13,13,,,,,,,,,,,,,,,,,,,86.4874999000458,86.4874999000458,86.4874999000458,86.4874999000458,['space'],[0.09258069994393736],86.72897519997787,86.72897519997787,86.72897519997787,86.72897519997787,86.72897519997787,86.72897519997787,space,0.035640900023281574,None,988404,001,2023-10-19_18h20.32.022,Main,2022.2.5,60.000888047844974,
1,est15,105,0.1,None,0,14,14,14,,,,,,,,,,,,,,,,,,,86.79996650002431,86.79996650002431,86.79996650002431,86.79996650002431,['space'],[0.1594518000492826],87.18383550003637,87.18383550003637,87.18383550003637,87.18383550003637,87.18383550003637,87.18383550003637,space,0.87800539995078,None,988404,001,2023-10-19_18h20.32.022,Main,2022.2.5,60.000888047844974,
1,est16,120,0.0,None,0,15,15,15,,,,,,,,,,,,,,,,,,,88.156947499956,88.156947499956,88.156947499956,88.156947499956,['space'],[0.9873637999407947],89.35046180000063,89.35046180000063,89.35046180000063,89.35046180000063,89.35046180000063,89.35046180000063,space,0.1769067000132054,None,988404,001,2023-10-19_18h20.32.022,Main,2022.2.5,60.000888047844974,
