Psubj,Attribute,Value,cond,Unique,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text.started,text.stopped,key_resp_4.started,text_instr.started,key_resp_4.keys,key_resp_4.rt,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_2.rt,Stroop_response.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,10.561221499927342,13.567339999950491,13.567339999950491,13.567339999950491,space,1.7800635999301448,,,,,,,,,,,,,,,,595392,001,2023-10-19_16h20.57.670,Main,2022.2.5,60.01352705418872,
1,est1,105,0.0,None,0,0,0,0,,,,,,,,,,,,,,,18.48621739994269,18.48621739994269,18.48621739994269,18.48621739994269,['space'],[0.8778274999931455],20.705001599970274,20.705001599970274,20.705001599970274,20.705001599970274,20.705001599970274,20.705001599970274,space,2.6724048000760376,None,595392,001,2023-10-19_16h20.57.670,Main,2022.2.5,60.01352705418872,
1,est2,30,0.1,None,0,1,1,1,,,,,,,,,,,,,,,23.40025589999277,23.40025589999277,23.40025589999277,23.40025589999277,['space'],[1.1630647000856698],24.72378779994324,24.72378779994324,24.72378779994324,24.72378779994324,24.72378779994324,24.72378779994324,space,18.87246129999403,None,595392,001,2023-10-19_16h20.57.670,Main,2022.2.5,60.01352705418872,
1,est3,120,0.1,None,0,2,2,2,,,,,,,,,,,,,,,43.8354846999282,43.8354846999282,43.8354846999282,43.8354846999282,['space'],[0.7246379000134766],44.7252566999523,44.7252566999523,44.7252566999523,44.7252566999523,44.7252566999523,44.7252566999523,space,5.086842000018805,None,595392,001,2023-10-19_16h20.57.670,Main,2022.2.5,60.01352705418872,
1,est4,30,0.1,None,0,3,3,3,,,,,,,,,,,,,,,50.138558799983,50.138558799983,50.138558799983,50.138558799983,['space'],[1.0128243999788538],51.30413810000755,51.30413810000755,51.30413810000755,51.30413810000755,51.30413810000755,51.30413810000755,space,2.4156351999845356,None,595392,001,2023-10-19_16h20.57.670,Main,2022.2.5,60.01352705418872,
,,,,,,,,,,,,,,,,,,,,,,,53.921708500012755,53.921708500012755,53.921708500012755,53.921708500012755,['space'],[0.5467848000116646],54.63329429994337,54.63329429994337,54.63329429994337,54.63329429994337,54.63329429994337,54.63329429994337,,,,,,,,,,
