Psubj,Attribute,Value,cond,Unique,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text.started,key_resp_4.started,text_instr.started,key_resp_4.keys,key_resp_4.rt,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_2.rt,Stroop_response.keys,Stroop_response.rt,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,est15,105,0.1,None,0,14,14,14,,,,,,,,,,,,,,131.54127990000416,131.54127990000416,131.54127990000416,131.54127990000416,['space'],[0.6766576000372879],132.26756279997062,132.26756279997062,132.26756279997062,132.26756279997062,132.26756279997062,132.26756279997062,space,1.7943463000119664,None,,,368735,001,2023-10-19_16h01.46.482,Main,2022.2.5,59.9517867688851,
1,est16,120,0.0,None,0,15,15,15,,,,,,,,,,,,,,134.27804579999065,134.27804579999065,134.27804579999065,134.27804579999065,['space'],[0.2689521000138484],134.5930203999742,134.5930203999742,134.5930203999742,134.5930203999742,134.5930203999742,134.5930203999742,space,0.9728087999974377,None,,,368735,001,2023-10-19_16h01.46.482,Main,2022.2.5,59.9517867688851,
1,est17,120,0.1,None,0,16,16,16,,,,,,,,,,,,,,135.8512682999717,135.8512682999717,135.8512682999717,135.8512682999717,['space'],[0.2844335000263527],136.18188479996752,136.18188479996752,136.18188479996752,136.18188479996752,136.18188479996752,136.18188479996752,space,2.338185100001283,None,,,368735,001,2023-10-19_16h01.46.482,Main,2022.2.5,59.9517867688851,
1,est18,105,0.0,None,0,17,17,17,,,,,,,,,,,,,,138.7751473999815,138.7751473999815,138.7751473999815,138.7751473999815,['space'],[0.5616305999574251],139.39329899998847,139.39329899998847,139.39329899998847,139.39329899998847,139.39329899998847,139.39329899998847,space,1.3124455999932252,None,,,368735,001,2023-10-19_16h01.46.482,Main,2022.2.5,59.9517867688851,
1,est19,60,0.1,None,0,18,18,18,,,,,,,,,,,,,,140.88023000000976,140.88023000000976,140.88023000000976,140.88023000000976,['space'],[0.4482709000003524],141.37711190001573,141.37711190001573,141.37711190001573,141.37711190001573,141.37711190001573,141.37711190001573,space,1.6964158000191674,None,,,368735,001,2023-10-19_16h01.46.482,Main,2022.2.5,59.9517867688851,
1,est20,60,0.1,None,0,19,19,19,,,,,,,,,,,,,,143.3902372000157,143.3902372000157,143.3902372000157,143.3902372000157,['space'],[0.24786280002444983],143.68215000000782,143.68215000000782,143.68215000000782,143.68215000000782,143.68215000000782,143.68215000000782,space,0.9475892999907956,None,,,368735,001,2023-10-19_16h01.46.482,Main,2022.2.5,59.9517867688851,
1,est21,120,0.1,None,0,20,20,20,,,,,,,,,,,,,,144.87656930001685,144.87656930001685,144.87656930001685,144.87656930001685,['space'],[0.35447439999552444],145.348315500014,145.348315500014,145.348315500014,145.348315500014,145.348315500014,145.348315500014,space,0.6497933000209741,None,,,368735,001,2023-10-19_16h01.46.482,Main,2022.2.5,59.9517867688851,
1,est22,120,0.0,None,0,21,21,21,,,,,,,,,,,,,,146.20203559997026,146.20203559997026,146.20203559997026,146.20203559997026,['space'],[0.25381470000138506],146.5017810999998,146.5017810999998,146.5017810999998,146.5017810999998,146.5017810999998,146.5017810999998,space,0.8514759000390768,None,,,368735,001,2023-10-19_16h01.46.482,Main,2022.2.5,59.9517867688851,
1,est23,30,0.0,None,0,22,22,22,,,,,,,,,,,,,,147.60067989997333,147.60067989997333,147.60067989997333,147.60067989997333,['space'],[0.28776430001016706],147.936266899982,147.936266899982,147.936266899982,147.936266899982,147.936266899982,147.936266899982,space,1.0742172000464052,None,,,368735,001,2023-10-19_16h01.46.482,Main,2022.2.5,59.9517867688851,
1,est24,105,0.1,None,0,23,23,23,,,,,,,,,,,,,,149.36395019997144,149.36395019997144,149.36395019997144,149.36395019997144,['space'],[0.05974759999662638],149.49075870000524,149.49075870000524,149.49075870000524,149.49075870000524,149.49075870000524,149.49075870000524,space,0.7748614000156522,None,,,368735,001,2023-10-19_16h01.46.482,Main,2022.2.5,59.9517867688851,
1,est25,30,0.1,None,0,24,24,24,,,,,,,,,,,,,,150.54154539998854,150.54154539998854,150.54154539998854,150.54154539998854,['space'],[0.25643370003672317],150.8396606000024,150.8396606000024,150.8396606000024,150.8396606000024,150.8396606000024,150.8396606000024,space,0.7388091000029817,None,,,368735,001,2023-10-19_16h01.46.482,Main,2022.2.5,59.9517867688851,
1,est26,60,0.0,None,0,25,25,25,,,,,,,,,,,,,,151.94360120000783,151.94360120000783,151.94360120000783,151.94360120000783,['space'],[0.4206546999630518],152.44577190000564,152.44577190000564,152.44577190000564,152.44577190000564,152.44577190000564,152.44577190000564,space,1.0412385999807157,None,,,368735,001,2023-10-19_16h01.46.482,Main,2022.2.5,59.9517867688851,
1,est27,105,0.1,None,0,26,26,26,,,,,,,,,,,,,,153.74567729997216,153.74567729997216,153.74567729997216,153.74567729997216,['space'],[0.19871450000209734],154.0094189000083,154.0094189000083,154.0094189000083,154.0094189000083,154.0094189000083,154.0094189000083,space,7.137348599964753,None,,,368735,001,2023-10-19_16h01.46.482,Main,2022.2.5,59.9517867688851,
1,est28,60,0.1,None,0,27,27,27,,,,,,,,,,,,,,161.52426480001304,161.52426480001304,161.52426480001304,161.52426480001304,['space'],[0.18818249995820224],161.79420040000696,161.79420040000696,161.79420040000696,161.79420040000696,161.79420040000696,161.79420040000696,space,0.8733795000007376,None,,,368735,001,2023-10-19_16h01.46.482,Main,2022.2.5,59.9517867688851,
1,est29,120,0.0,None,0,28,28,28,,,,,,,,,,,,,,162.9774845999782,162.9774845999782,162.9774845999782,162.9774845999782,['space'],[0.1200984000461176],163.1675234999857,163.1675234999857,163.1675234999857,163.1675234999857,163.1675234999857,163.1675234999857,space,0.7201562999980524,None,,,368735,001,2023-10-19_16h01.46.482,Main,2022.2.5,59.9517867688851,
1,est30,30,0.0,None,0,29,29,29,,,,,,,,,,,,,,164.6778635000228,164.6778635000228,164.6778635000228,164.6778635000228,['space'],[0.324774399981834],165.06518580002012,165.06518580002012,165.06518580002012,165.06518580002012,165.06518580002012,165.06518580002012,space,0.3502701999968849,None,,,368735,001,2023-10-19_16h01.46.482,Main,2022.2.5,59.9517867688851,
