Psubj,Attribute,Value,cond,Unique,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,textbox.started,key_resp_9.started,textbox_2.started,polygon.started,key_resp_9.keys,key_resp_9.rt,key_resp_4.started,textbox_3.started,key_resp_4.keys,key_resp_4.rt,key_resp.started,text_4.started,text_2.started,text_3.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_6.started,text_5.started,stopb.started,stopl.started,stopr.started,key_resp_2.keys,key_resp_2.rt,Stroop_response.keys,Stroop_response.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,45.61753860000317,50.62021830000231,50.62021830000231,50.62021830000231,space,2.6754572999961965,,,,,,,,,,,,,,,,,,,,,326411,001,2023-11-09_12h34.15.071,Main,2022.2.5,60.36318111573828,
,,,,,,,,,,,,,,,,,,,,,,,53.319307100002334,53.319307100002334,space,5.212249299998803,,,,,,,,,,,,,,,,,326411,001,2023-11-09_12h34.15.071,Main,2022.2.5,60.36318111573828,
1,est1,105,0.0,None,0,0,0,0,,,,,,,,,,,,,,,,,,,62.27195589999974,62.27195589999974,62.27195589999974,62.27195589999974,['space'],[1.519368299999769],64.80801070000234,64.80801070000234,64.80801070000234,64.80801070000234,64.80801070000234,64.80801070000234,space,1.2952182000008179,None,,326411,001,2023-11-09_12h34.15.071,Main,2022.2.5,60.36318111573828,
1,est2,30,0.1,None,0,1,1,1,,,,,,,,,,,,,,,,,,,66.15776440000263,66.15776440000263,66.15776440000263,66.15776440000263,['space'],[0.5491755999973975],91.06771730000037,91.06771730000037,91.06771730000037,91.06771730000037,91.06771730000037,91.06771730000037,space,0.46935649999795714,None,0.6943796999985352,326411,001,2023-11-09_12h34.15.071,Main,2022.2.5,60.36318111573828,
1,est3,120,0.1,None,0,2,2,2,,,,,,,,,,,,,,,,,,,91.64983800000118,91.64983800000118,91.64983800000118,91.64983800000118,['space'],[0.464586899997812],93.28050880000228,93.28050880000228,93.28050880000228,93.28050880000228,93.28050880000228,93.28050880000228,space,0.18299199999819393,None,0.8407091999979457,326411,001,2023-11-09_12h34.15.071,Main,2022.2.5,60.36318111573828,
1,est4,30,0.1,None,0,3,3,3,,,,,,,,,,,,,,,,,,,93.54984330000298,93.54984330000298,93.54984330000298,93.54984330000298,['space'],[0.290651399998751],94.08055230000173,94.08055230000173,94.08055230000173,94.08055230000173,94.08055230000173,94.08055230000173,space,0.28174379999836674,None,,326411,001,2023-11-09_12h34.15.071,Main,2022.2.5,60.36318111573828,
1,est5,105,0.0,None,0,4,4,4,,,,,,,,,,,,,,,,,,,94.45433080000294,94.45433080000294,94.45433080000294,94.45433080000294,['space'],[2.1870601999980863],96.94185890000153,96.94185890000153,96.94185890000153,96.94185890000153,96.94185890000153,96.94185890000153,space,3.366737299998931,None,,326411,001,2023-11-09_12h34.15.071,Main,2022.2.5,60.36318111573828,
1,est6,120,0.1,None,0,5,5,5,,,,,,,,,,,,,,,,,,,100.33929550000175,100.33929550000175,100.33929550000175,100.33929550000175,['space'],[0.48842769999828306],101.1164260000005,101.1164260000005,101.1164260000005,101.1164260000005,101.1164260000005,101.1164260000005,space,1.970969399997557,None,,326411,001,2023-11-09_12h34.15.071,Main,2022.2.5,60.36318111573828,
1,est7,120,0.0,None,0,6,6,6,,,,,,,,,,,,,,,,,,,103.15557030000127,103.15557030000127,103.15557030000127,103.15557030000127,['space'],[0.14971130000049016],103.50061180000193,103.50061180000193,103.50061180000193,103.50061180000193,103.50061180000193,103.50061180000193,space,0.5946435999976529,None,,326411,001,2023-11-09_12h34.15.071,Main,2022.2.5,60.36318111573828,
1,est8,60,0.0,None,0,7,7,7,,,,,,,,,,,,,,,,,,,104.1444115000013,104.1444115000013,104.1444115000013,104.1444115000013,['space'],[0.3214715999965847],104.71854870000243,104.71854870000243,104.71854870000243,104.71854870000243,104.71854870000243,104.71854870000243,space,0.7015764999996463,None,,326411,001,2023-11-09_12h34.15.071,Main,2022.2.5,60.36318111573828,
1,est9,30,0.0,None,0,8,8,8,,,,,,,,,,,,,,,,,,,105.44978300000002,105.44978300000002,105.44978300000002,105.44978300000002,['space'],[0.3680239999994228],106.06776300000274,106.06776300000274,106.06776300000274,106.06776300000274,106.06776300000274,106.06776300000274,space,0.5985209999962535,None,,326411,001,2023-11-09_12h34.15.071,Main,2022.2.5,60.36318111573828,
1,est10,60,0.0,None,0,9,9,9,,,,,,,,,,,,,,,,,,,106.69472890000179,106.69472890000179,106.69472890000179,106.69472890000179,['space'],[0.29432530000121915],107.20642990000124,107.20642990000124,107.20642990000124,107.20642990000124,107.20642990000124,107.20642990000124,space,0.48316029999841703,None,,326411,001,2023-11-09_12h34.15.071,Main,2022.2.5,60.36318111573828,
1,est11,105,0.1,None,0,10,10,10,,,,,,,,,,,,,,,,,,,107.74149620000026,107.74149620000026,107.74149620000026,107.74149620000026,['space'],[0.2296130999966408],108.26211300000068,108.26211300000068,108.26211300000068,108.26211300000068,108.26211300000068,108.26211300000068,space,15.574616999998398,None,,326411,001,2023-11-09_12h34.15.071,Main,2022.2.5,60.36318111573828,
1,est12,30,0.0,None,0,11,11,11,,,,,,,,,,,,,,,,,,,123.86690120000276,123.86690120000276,123.86690120000276,123.86690120000276,['space'],[0.4933852999965893],124.71778389999963,124.71778389999963,124.71778389999963,124.71778389999963,124.71778389999963,124.71778389999963,space,0.7606386999977985,None,,326411,001,2023-11-09_12h34.15.071,Main,2022.2.5,60.36318111573828,
