Psubj,Attribute,Value,cond,Unique,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text.started,text_7.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,key_resp_4.started,text_instr.started,key_resp_4.keys,key_resp_4.rt,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_2.rt,Stroop_response.keys,Stroop_response.rt,participant,session,date,expName,psychopyVersion,frameRate,
1,est5,105,0.0,None,0,4,4,4,,,,,,,,,,,,,,,,,,158.97827540000435,158.97827540000435,158.97827540000435,158.97827540000435,['space'],[4.115014299983159],163.32548920006957,163.32548920006957,163.32548920006957,163.32548920006957,163.32548920006957,163.32548920006957,space,75.87472840002738,None,,382763,001,2023-10-19_17h59.59.183,Main,2022.2.5,60.032910026297195,
1,est6,120,0.1,None,0,5,5,5,,,,,,,,,,,,,,,,,,239.22504390007816,239.22504390007816,239.22504390007816,239.22504390007816,['space'],[7.036316900048405],377.876010100008,377.876010100008,377.876010100008,377.876010100008,377.876010100008,377.876010100008,space,0.5621707000536844,None,53.09570499998517,382763,001,2023-10-19_17h59.59.183,Main,2022.2.5,60.032910026297195,
1,est7,120,0.0,None,0,6,6,6,,,,,,,,,,,,,,,,,,378.51751150004566,378.51751150004566,378.51751150004566,378.51751150004566,['space'],[1.610326400026679],380.63947040005587,380.63947040005587,380.63947040005587,380.63947040005587,380.63947040005587,380.63947040005587,space,118.89321699994616,None,,382763,001,2023-10-19_17h59.59.183,Main,2022.2.5,60.032910026297195,
1,est8,60,0.0,None,0,7,7,7,,,,,,,,,,,,,,,,,,499.59542819997296,499.59542819997296,499.59542819997296,499.59542819997296,['space'],[0.7903305999934673],500.6782880000537,500.6782880000537,500.6782880000537,500.6782880000537,500.6782880000537,500.6782880000537,space,1.1952747999457642,None,,382763,001,2023-10-19_17h59.59.183,Main,2022.2.5,60.032910026297195,
1,est9,30,0.0,None,0,8,8,8,,,,,,,,,,,,,,,,,,501.9023278000532,501.9023278000532,501.9023278000532,501.9023278000532,['space'],[0.3899009000742808],502.7147503000451,502.7147503000451,502.7147503000451,502.7147503000451,502.7147503000451,502.7147503000451,space,1.063086900045164,None,,382763,001,2023-10-19_17h59.59.183,Main,2022.2.5,60.032910026297195,
1,est10,60,0.0,None,0,9,9,9,,,,,,,,,,,,,,,,,,503.80385640007444,503.80385640007444,503.80385640007444,503.80385640007444,['space'],[0.5598819000879303],504.95350320008583,504.95350320008583,504.95350320008583,504.95350320008583,504.95350320008583,504.95350320008583,space,2.567611299920827,None,,382763,001,2023-10-19_17h59.59.183,Main,2022.2.5,60.032910026297195,
1,est11,105,0.1,None,0,10,10,10,,,,,,,,,,,,,,,,,,507.54462499998044,507.54462499998044,507.54462499998044,507.54462499998044,['space'],[0.7509456999832764],515.1292442000704,515.1292442000704,515.1292442000704,515.1292442000704,515.1292442000704,515.1292442000704,space,1.013311699964106,None,0.036667199921794236,382763,001,2023-10-19_17h59.59.183,Main,2022.2.5,60.032910026297195,
1,est12,30,0.0,None,0,11,11,11,,,,,,,,,,,,,,,,,,516.1917927999748,516.1917927999748,516.1917927999748,516.1917927999748,['space'],[0.7093419999582693],517.37124950008,517.37124950008,517.37124950008,517.37124950008,517.37124950008,517.37124950008,space,1.1333621999947354,None,,382763,001,2023-10-19_17h59.59.183,Main,2022.2.5,60.032910026297195,
1,est13,60,0.1,None,0,12,12,12,,,,,,,,,,,,,,,,,,518.5286827000091,518.5286827000091,518.5286827000091,518.5286827000091,['space'],[0.4736276000039652],552.6662562000565,552.6662562000565,552.6662562000565,552.6662562000565,552.6662562000565,552.6662562000565,space,0.6684353000018746,None,0.1526826999615878,382763,001,2023-10-19_17h59.59.183,Main,2022.2.5,60.032910026297195,
1,est14,105,0.0,None,0,13,13,13,,,,,,,,,,,,,,,,,,553.424457599991,553.424457599991,553.424457599991,553.424457599991,['space'],[1.7453251000260934],555.6793254000368,555.6793254000368,555.6793254000368,555.6793254000368,555.6793254000368,555.6793254000368,space,103.10206829989329,None,,382763,001,2023-10-19_17h59.59.183,Main,2022.2.5,60.032910026297195,
1,est15,105,0.1,None,0,14,14,14,,,,,,,,,,,,,,,,,,658.8096578000113,658.8096578000113,658.8096578000113,658.8096578000113,['space'],[1.6270303999772295],672.2232496000361,672.2232496000361,672.2232496000361,672.2232496000361,672.2232496000361,672.2232496000361,space,1.5406897000502795,None,0.8682251999853179,382763,001,2023-10-19_17h59.59.183,Main,2022.2.5,60.032910026297195,
1,est16,120,0.0,None,0,15,15,15,,,,,,,,,,,,,,,,,,673.8599590000231,673.8599590000231,673.8599590000231,673.8599590000231,['space'],[0.5092728999443352],674.6334018000634,674.6334018000634,674.6334018000634,674.6334018000634,674.6334018000634,674.6334018000634,space,23.355574999935925,None,,382763,001,2023-10-19_17h59.59.183,Main,2022.2.5,60.032910026297195,
1,est17,120,0.1,None,0,16,16,16,,,,,,,,,,,,,,,,,,704.7849367000163,704.7849367000163,704.7849367000163,704.7849367000163,['space'],[0.8297518000472337],722.9382321999874,722.9382321999874,722.9382321999874,722.9382321999874,722.9382321999874,722.9382321999874,space,0.5703819999471307,None,0.16674010001588613,382763,001,2023-10-19_17h59.59.183,Main,2022.2.5,60.032910026297195,
1,est18,105,0.0,None,0,17,17,17,,,,,,,,,,,,,,,,,,723.5950866000494,723.5950866000494,723.5950866000494,723.5950866000494,['space'],[1.6082008000230417],725.819494400057,725.819494400057,725.819494400057,725.819494400057,725.819494400057,725.819494400057,space,70.02313900005538,None,,382763,001,2023-10-19_17h59.59.183,Main,2022.2.5,60.032910026297195,
1,est19,60,0.1,None,0,18,18,18,,,,,,,,,,,,,,,,,,795.8853085000301,795.8853085000301,795.8853085000301,795.8853085000301,['space'],[0.5528299999423325],861.5934375000652,861.5934375000652,861.5934375000652,861.5934375000652,861.5934375000652,861.5934375000652,space,2.628285099985078,None,0.17606139997951686,382763,001,2023-10-19_17h59.59.183,Main,2022.2.5,60.032910026297195,
