Psubj,Attribute,Value,cond,Unique,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,rand,text.started,text.stopped,text_7.started,key_resp_9.started,key_resp_9.keys,key_resp_9.rt,key_resp_4.started,text_instr.started,key_resp_4.keys,key_resp_4.rt,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_2.rt,Stroop_response.keys,Stroop_response.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,11.851689800038002,14.850700900075026,14.850700900075026,14.850700900075026,space,12.164815600030124,,,,,,,,,,,,,,,,,,,,,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
,,,,,,,,,,,,,,,,,,,,,,,27.047970800078474,27.047970800078474,space,2.7936971000162885,,,,,,,,,,,,,,,,,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est1,105,0.0,None,0,0,0,0,,,,,,,,,,,,,,,,,,,32.70541110006161,32.70541110006161,32.70541110006161,32.70541110006161,['space'],[9.23184909997508],44.12549630005378,44.12549630005378,44.12549630005378,44.12549630005378,44.12549630005378,44.12549630005378,space,3.8654464000137523,None,,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est2,30,0.1,None,0,1,1,1,,,,,,,,,,,,,,,,,,,48.01060330006294,48.01060330006294,48.01060330006294,48.01060330006294,['space'],[0.8223802999127656],53.195318400044926,53.195318400044926,53.195318400044926,53.195318400044926,53.195318400044926,53.195318400044926,space,16.09029449999798,None,0.2167855000589043,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est3,120,0.1,None,0,2,2,2,,,,,,,,,,,,,,,,,,,69.3398756000679,69.3398756000679,69.3398756000679,69.3398756000679,['space'],[0.6023307000286877],72.08368320006412,72.08368320006412,72.08368320006412,72.08368320006412,72.08368320006412,72.08368320006412,space,0.34827770001720637,None,0.04830609995406121,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est4,30,0.1,None,0,3,3,3,,,,,,,,,,,,,,,,,,,72.51627470005769,72.51627470005769,72.51627470005769,72.51627470005769,['space'],[0.2851356000173837],77.65447410009801,77.65447410009801,77.65447410009801,77.65447410009801,77.65447410009801,77.65447410009801,space,0.2349695999873802,None,0.1654693998862058,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est5,105,0.0,None,0,4,4,4,,,,,,,,,,,,,,,,,,,77.93883600004483,77.93883600004483,77.93883600004483,77.93883600004483,['space'],[0.7876621000468731],78.92423390003387,78.92423390003387,78.92423390003387,78.92423390003387,78.92423390003387,78.92423390003387,space,16.561085000052117,None,,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est6,120,0.1,None,0,5,5,5,,,,,,,,,,,,,,,,,,,95.51222750009038,95.51222750009038,95.51222750009038,95.51222750009038,['space'],[7.38864670007024],128.85841680003796,128.85841680003796,128.85841680003796,128.85841680003796,128.85841680003796,128.85841680003796,space,0.3572619999758899,None,0.10422749991994351,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est7,120,0.0,None,0,6,6,6,,,,,,,,,,,,,,,,,,,129.2749644999858,129.2749644999858,129.2749644999858,129.2749644999858,['space'],[1.4699978999560699],130.88841930008493,130.88841930008493,130.88841930008493,130.88841930008493,130.88841930008493,130.88841930008493,space,2.245540399919264,None,,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est8,60,0.0,None,0,7,7,7,,,,,,,,,,,,,,,,,,,133.167869900004,133.167869900004,133.167869900004,133.167869900004,['space'],[1.8926822000648826],135.28633310005534,135.28633310005534,135.28633310005534,135.28633310005534,135.28633310005534,135.28633310005534,space,0.8636441000271589,None,,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est9,30,0.0,None,0,8,8,8,,,,,,,,,,,,,,,,,,,136.18119420006406,136.18119420006406,136.18119420006406,136.18119420006406,['space'],[0.40084170002955943],136.77567590004764,136.77567590004764,136.77567590004764,136.77567590004764,136.77567590004764,136.77567590004764,space,0.6905555999837816,None,,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est10,60,0.0,None,0,9,9,9,,,,,,,,,,,,,,,,,,,137.49816339998506,137.49816339998506,137.49816339998506,137.49816339998506,['space'],[0.6544253999600187],138.30611660005525,138.30611660005525,138.30611660005525,138.30611660005525,138.30611660005525,138.30611660005525,space,0.8395529000554234,None,,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est11,105,0.1,None,0,10,10,10,,,,,,,,,,,,,,,,,,,139.17264560004696,139.17264560004696,139.17264560004696,139.17264560004696,['space'],[0.4278688000049442],143.36960380000528,143.36960380000528,143.36960380000528,143.36960380000528,143.36960380000528,143.36960380000528,space,0.7311602999689057,None,0.3576595999766141,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est12,30,0.0,None,0,11,11,11,,,,,,,,,,,,,,,,,,,144.1439442000119,144.1439442000119,144.1439442000119,144.1439442000119,['space'],[0.68088840006385],145.0421142000705,145.0421142000705,145.0421142000705,145.0421142000705,145.0421142000705,145.0421142000705,space,0.6249681999906898,None,,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est13,60,0.1,None,0,12,12,12,,,,,,,,,,,,,,,,,,,145.7083217999898,145.7083217999898,145.7083217999898,145.7083217999898,['space'],[0.6717731000389904],147.73753010004293,147.73753010004293,147.73753010004293,147.73753010004293,147.73753010004293,147.73753010004293,space,0.7200607000850141,None,0.04083589999936521,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est14,105,0.0,None,0,13,13,13,,,,,,,,,,,,,,,,,,,148.48994680005126,148.48994680005126,148.48994680005126,148.48994680005126,['space'],[0.2903918999945745],148.95772690000013,148.95772690000013,148.95772690000013,148.95772690000013,148.95772690000013,148.95772690000013,space,0.4852098999544978,None,,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est15,105,0.1,None,0,14,14,14,,,,,,,,,,,,,,,,,,,149.46178580005653,149.46178580005653,149.46178580005653,149.46178580005653,['space'],[0.5683382999850437],150.23638020001817,150.23638020001817,150.23638020001817,150.23638020001817,150.23638020001817,150.23638020001817,space,2.840733899967745,None,,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est16,120,0.0,None,0,15,15,15,,,,,,,,,,,,,,,,,,,153.13881620008033,153.13881620008033,153.13881620008033,153.13881620008033,['space'],[0.3138630000175908],153.60238560009748,153.60238560009748,153.60238560009748,153.60238560009748,153.60238560009748,153.60238560009748,space,0.5853492999449372,None,,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est17,120,0.1,None,0,16,16,16,,,,,,,,,,,,,,,,,,,154.2115722000599,154.2115722000599,154.2115722000599,154.2115722000599,['space'],[0.8796619999920949],157.8323718000902,157.8323718000902,157.8323718000902,157.8323718000902,157.8323718000902,157.8323718000902,space,1.1208630999317393,None,0.05193029996007681,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est18,105,0.0,None,0,17,17,17,,,,,,,,,,,,,,,,,,,159.03303380007856,159.03303380007856,159.03303380007856,159.03303380007856,['space'],[0.3818664000136778],159.5606840000255,159.5606840000255,159.5606840000255,159.5606840000255,159.5606840000255,159.5606840000255,space,0.7332985000684857,None,,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est19,60,0.1,None,0,18,18,18,,,,,,,,,,,,,,,,,,,160.32617650006432,160.32617650006432,160.32617650006432,160.32617650006432,['space'],[0.6726731999078766],199.2144391000038,199.2144391000038,199.2144391000038,199.2144391000038,199.2144391000038,199.2144391000038,space,0.5504115999210626,None,0.26354499999433756,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
1,est20,60,0.1,None,0,19,19,19,,,,,,,,,,,,,,,,,,,199.84401400003117,199.84401400003117,199.84401400003117,199.84401400003117,['space'],[0.44803259999025613],201.8563323999988,201.8563323999988,201.8563323999988,201.8563323999988,201.8563323999988,201.8563323999988,space,0.2767045999644324,None,1.2696751001058146,933865,001,2023-10-19_17h50.25.278,Main,2022.2.5,60.024550046222814,
