Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_instr.started,image_instr1.started,image_instr2.started,image_illus.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,sound_1.started,text_5.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.379564999999275,15.379564999999275,15.379564999999275,15.379564999999275,15.379564999999275,4.55999997939216e-05,[0.5875],[-0.3909722222222222],[1],[0],[0],[3.5206280999991577],['image_next'],,,,,,,,,,,,,,,,,,001,2023-09-27_20h12.44.500,untitled,2022.2.5,59.9223645842782,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,18.87697130000015,18.87697130000015,18.87697130000015,18.87697130000015,space,1.2990761999990355,20.284660899998926,20.284660899998926,20.28286908000009,21.299412700000175,25.198349700000108,26.1980255999988,32.196158699998705,33.19589629999973,space,47.714268300000185,,001,2023-09-27_20h12.44.500,untitled,2022.2.5,59.9223645842782,
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,,,,68.01884090000021,68.01884090000021,68.01884090000021,68.01884090000021,space,5.041451400000369,73.16216159999931,73.16216159999931,73.16698917999966,74.16648290000012,78.08213529999921,79.08184099999926,85.07969819999926,86.07948450000004,space,55.860104300001694,,001,2023-09-27_20h12.44.500,untitled,2022.2.5,59.9223645842782,
30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,0,2,2,2,,,,,,,,,,,,,,129.0497121999997,129.0497121999997,129.0497121999997,129.0497121999997,space,3.9557548000011593,133.13004519999959,133.13004519999959,133.13193065999968,134.1313037,138.02991309999925,139.0293418000001,145.0276998999998,146.02736949999962,space,15.435851700001876,,001,2023-09-27_20h12.44.500,untitled,2022.2.5,59.9223645842782,
105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,0,3,3,3,,,,,,,,,,,,,,148.59360000000015,148.59360000000015,148.59360000000015,148.59360000000015,space,4.51689880000049,153.22047849999944,153.22047849999944,153.22596618000026,154.22502969999914,158.1409324999986,159.14035909999984,165.13878730000033,166.13834999999926,space,23.99796890000107,,001,2023-09-27_20h12.44.500,untitled,2022.2.5,59.9223645842782,
120,30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,0,4,4,4,,,,,,,,,,,,,,177.2398420999998,177.2398420999998,177.2398420999998,177.2398420999998,space,1.2853939000015089,178.6284366,178.6284366,178.63520178000036,179.63381659999868,183.54971279999882,,,,space,5.3092302000004565,,001,2023-09-27_20h12.44.500,untitled,2022.2.5,59.9223645842782,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.9660236999989,183.9660236999989,183.9660236999989,183.9660236999989,,,,,,,,,,,,,,,,,,,
