Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_instr.started,image_instr1.started,image_instr2.started,image_illus.started,image_next.started,mouse.started,text_instr.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,sound_1.started,text_12.started,text_13.started,text_8.started,text_9.started,text_5.stopped,key_resp_2.keys,key_resp_2.rt,text_12.stopped,text_13.stopped,text_8.stopped,text_9.stopped,text_6.started,text_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.80390489999263,12.80390489999263,12.80390489999263,12.80390489999263,12.80390489999263,3.29999893438071e-05,31.813060899992706,[0.5833333333333334],[-0.40347222222222223],[1],[0],[0],[22.000189699989278],['image_next'],,,,,,,,,,,,,,,,,,,,,,,,001,2023-09-28_14h13.07.386,untitled,2022.2.5,60.002940142006246,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,,34.78623789999983,34.78623789999983,34.78623789999983,34.78623789999983,space,1.3272532999981195,36.22688299999572,36.22688299999572,36.22833457999222,36.22688299999572,36.22688299999572,36.22688299999572,36.22688299999572,37.22812129999511,space,2.3984450999996625,,,,,,,,001,2023-09-28_14h13.07.386,untitled,2022.2.5,60.002940142006246,
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,,,,,38.644347199995536,38.644347199995536,38.644347199995536,38.644347199995536,space,0.6643507999979192,39.406506999992416,39.406506999992416,39.41065688000235,39.406506999992416,39.406506999992416,39.406506999992416,39.406506999992416,40.41028179999557,space,1.997621300004539,,,,,,,,001,2023-09-28_14h13.07.386,untitled,2022.2.5,60.002940142006246,
30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,0,2,2,2,,,,,,,,,,,,,,,41.426986799997394,41.426986799997394,41.426986799997394,41.426986799997394,space,0.8470835000043735,42.372609099998954,42.372609099998954,42.376860479995955,42.372609099998954,42.372609099998954,42.372609099998954,42.372609099998954,43.37615189999633,space,1.0245141999912448,,,,,,,,001,2023-09-28_14h13.07.386,untitled,2022.2.5,60.002940142006246,
105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,60,0,3,3,3,,,,,,,,,,,,,,,43.42630599999393,43.42630599999393,43.42630599999393,43.42630599999393,space,3.2023005000082776,46.73810709999816,46.73810709999816,46.74201457999588,46.73810709999816,46.73810709999816,46.73810709999816,46.73810709999816,47.74081989999104,space,8.2522622999968,50.74021439999342,50.74021439999342,50.74021439999342,50.74021439999342,51.656927000003634,52.65649969999504,,001,2023-09-28_14h13.07.386,untitled,2022.2.5,60.002940142006246,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.02293890000146,55.02293890000146,55.02293890000146,55.02293890000146,,,,,,,,,,,,,,,,,,,,,,,,,
