Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_instr.started,image_instr1.started,image_instr2.started,image_illus.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,sound_1.started,text_12.started,text_13.started,text_8.started,text_9.started,text_5.stopped,text_12.stopped,text_13.stopped,text_8.stopped,text_9.stopped,text_6.started,text_6.stopped,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.898931700001413,15.898931700001413,15.898931700001413,15.898931700001413,15.898931700001413,4.439999975147657e-05,[0.5701388888888889],[-0.38958333333333334],[1],[0],[0],[1.2229286000001593],['image_next'],,,,,,,,,,,,,,,,,,,,,,,,001,2023-09-27_20h32.39.857,untitled,2022.2.5,60.052521936250585,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,17.1045907000007,17.1045907000007,17.1045907000007,17.1045907000007,space,11.399277499998789,28.743828399999984,28.743828399999984,28.74322310000207,28.743828399999984,28.743828399999984,28.743828399999984,28.743828399999984,29.759102200001507,32.75802830000066,32.75802830000066,32.75802830000066,32.75802830000066,33.524758600000496,34.52443990000029,space,10.238908400000582,,001,2023-09-27_20h32.39.857,untitled,2022.2.5,60.052521936250585,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.00625850000142,39.00625850000142,39.00625850000142,39.00625850000142,space,0.9193658999993204,40.174073100000896,40.174073100000896,40.17269750000196,40.174073100000896,40.174073100000896,40.174073100000896,40.174073100000896,41.18902040000103,44.18792890000077,44.18792890000077,44.18792890000077,44.18792890000077,44.95452180000029,45.954206800000975,,,,,,,,,
