Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,sound_1.started,text_5.started,stopb.started,stopl.started,stopr.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.414093899991713,11.414093899991713,3.300000389572233e-05,[0.6208333333333333],[-0.40555555555555556],[1],[0],[0],[1.0559141999983694],['image_next'],,,,,,,,,,,,,,,,001,2023-09-28_16h20.05.471,untitled,2022.2.5,59.994948425291234,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,12.459870099992258,12.459870099992258,12.459870099992258,12.459870099992258,space,0.8239993000024697,13.478349899989553,13.465571299995645,13.478349899989553,13.478349899989553,13.478349899989553,13.478349899989553,space,41.21921540000767,,001,2023-09-28_16h20.05.471,untitled,2022.2.5,59.994948425291234,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.72429819998797,54.72429819998797,54.72429819998797,54.72429819998797,space,0.9394388999935472,55.8784028999944,55.869837660010674,55.8784028999944,55.8784028999944,55.8784028999944,55.8784028999944,,,,,,,,,
