Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_instr.started,image_instr1.started,image_instr2.started,image_illus.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,sound_1.started,text_8.started,text_9.started,text_5.stopped,text_8.stopped,text_9.stopped,text_6.started,text_6.stopped,text_7.started,text_7.stopped,text_10.started,text_11.started,text_10.stopped,text_11.stopped,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.162760600000183,15.162760600000183,15.162760600000183,15.162760600000183,15.162760600000183,3.299999843875412e-05,[0.6173611111111111],[-0.4125],[1],[0],[0],[2.3432745000009163],['image_next'],,,,,,,,,,,,,,,,,,,,,,,,,,001,2023-09-27_20h28.09.128,untitled,2022.2.5,60.05273831437735,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,17.493911100000332,17.493911100000332,17.493911100000332,17.493911100000332,space,3.953262100001666,21.628199300001143,21.628199300001143,21.631695570000012,21.628199300001143,21.628199300001143,22.631291699999565,25.630234300000666,25.630234300000666,26.463634699999602,27.46338620000097,33.4615016000007,34.4607057000012,39.45967070000006,39.45967070000006,41.45893210000031,41.45893210000031,space,50.163894999999684,,001,2023-09-27_20h28.09.128,untitled,2022.2.5,60.05273831437735,
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,,,,71.81673360000059,71.81673360000059,71.81673360000059,71.81673360000059,space,1.2492034999995667,73.16492860000108,73.16492860000108,73.16566861999999,73.16492860000108,73.16492860000108,74.16541959999995,77.16464120000091,77.16464120000091,78.08142840000073,79.08103480000136,85.07931540000027,86.07892280000124,91.07734549999986,91.07734549999986,93.09295740000016,93.09295740000016,space,22.927391299999726,,001,2023-09-27_20h28.09.128,untitled,2022.2.5,60.05273831437735,
30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,0,2,2,2,,,,,,,,,,,,,,96.10949770000116,96.10949770000116,96.10949770000116,96.10949770000116,space,0.17702790000112145,96.48938509999971,96.48938509999971,96.49216283999993,96.48938509999971,96.48938509999971,97.49177280000004,100.49070229999961,100.49070229999961,101.30805380000129,102.32367950000116,108.30534760000046,109.30507180000131,114.30365979999988,114.30365979999988,116.31866460000128,116.31866460000128,space,34.01823139999942,,001,2023-09-27_20h28.09.128,untitled,2022.2.5,60.05273831437735,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.53482199999962,130.53482199999962,130.53482199999962,130.53482199999962,,,,,,,,,,,,,,,,,,,,,,,,,,,
