Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_instr.started,image_instr1.started,image_instr2.started,image_illus.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,text_5.stopped,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.802448299999014,12.802448299999014,12.802448299999014,12.802448299999014,12.802448299999014,3.0300001526484266e-05,[0.5902777777777778],[-0.40694444444444444],[1],[0],[0],[1.008626800001366],['image_next'],,,,,,,,,,,,,001,2023-09-27_20h02.31.411,untitled,2022.2.5,60.938340758511394,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,13.799447499999587,13.799447499999587,13.799447499999587,13.799447499999587,space,1.3247843999997713,15.155717999999979,15.155717999999979,16.155432499999733,space,3.287995000000592,,001,2023-09-27_20h02.31.411,untitled,2022.2.5,60.938340758511394,
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,,,,18.47149189999982,18.47149189999982,18.47149189999982,18.47149189999982,space,2.8080093000007764,21.303461399998923,21.303461399998923,22.303195099999357,space,3.37906699999985,,001,2023-09-27_20h02.31.411,untitled,2022.2.5,60.938340758511394,
30,30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,0,2,2,2,,,,,,,,,,,,,,24.70221159999892,24.70221159999892,24.70221159999892,24.70221159999892,space,0.7374498999997741,25.468739399999322,25.468739399999322,,space,0.5486273000005895,,001,2023-09-27_20h02.31.411,untitled,2022.2.5,60.938340758511394,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.038507199999003,26.038507199999003,26.038507199999003,26.038507199999003,,,,,,,,,,,,,,
