Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,sound_1.started,text_5.started,key_resp_2.keys,key_resp_2.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.587353599999915,11.587353599999915,2.8999987989664078e-05,[0.6111111111111112],[-0.3902777777777778],[1],[0],[0],[1.8196169000002556],['image_next'],,,,,,,,,,,,,001,2023-09-28_14h59.11.982,untitled,2022.2.5,59.85027854406752,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,13.39239130000351,13.39239130000351,13.39239130000351,13.39239130000351,space,0.7638166999968234,14.265938299999107,14.265472339992993,14.265938299999107,space,19.368105399989872,,001,2023-09-28_14h59.11.982,untitled,2022.2.5,59.85027854406752,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.66084129999217,33.66084129999217,33.66084129999217,33.66084129999217,space,5.631627599999774,39.40973259999009,39.408668439998294,39.40973259999009,,,,,,,,,
