Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_3.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.752263599992148,10.752263599992148,5.0700007705017924e-05,[0.6097222222222223],[-0.39861111111111114],[1],[0],[0],[2.631830300000729],['image_next'],,,,,,,,,,,,,,,,,674046,001,2023-09-28_20h22.54.614,try_music_stroop,2022.2.5,60.099729491384124,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,,,,,13.374594900000375,13.374594900000375,13.374594900000375,13.374594900000375,space,0.7930640000122366,35.85808599999291,35.85808599999291,35.85808599999291,35.85808599999291,35.85808599999291,35.85808599999291,35.85808599999291,space,0.19462760000897106,None,674046,001,2023-09-28_20h22.54.614,try_music_stroop,2022.2.5,60.099729491384124,
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,,,,,,,,36.14799929999572,36.14799929999572,36.14799929999572,36.14799929999572,space,0.13026020000688732,67.77739219999057,67.77739219999057,67.77739219999057,67.77739219999057,67.77739219999057,67.77739219999057,67.77739219999057,space,0.17834610000136308,None,674046,001,2023-09-28_20h22.54.614,try_music_stroop,2022.2.5,60.099729491384124,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0610033999983,68.0610033999983,68.0610033999983,68.0610033999983,space,0.13445470000442583,68.22492239999701,68.22492239999701,68.22492239999701,68.22492239999701,68.22492239999701,68.22492239999701,68.22492239999701,,,,,,,,,,
