Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,key_resp_2.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.436431200010702,13.436431200010702,4.8999994760379195e-05,[0.6034722222222222],[-0.41388888888888886],[1],[0],[0],[9.672652199995355],['image_next'],,,,,,,,,,,,,,,,190932,001,2023-09-28_20h58.32.668,try_music_stroop,2022.2.5,59.992284992768234,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,,23.099943000008352,23.099943000008352,23.099943000008352,23.099943000008352,space,1.7864457999967271,34.687586300002295,34.687586300002295,34.687586300002295,34.687586300002295,34.687586300002295,34.687586300002295,b,0.13945240000612102,26.94035679999797,190932,001,2023-09-28_20h58.32.668,try_music_stroop,2022.2.5,59.992284992768234,
