Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.962971200002357,9.962971200002357,6.299999949987978e-05,[0.6243055555555556],[-0.3909722222222222],[1],[0],[0],[2.8054768000001786],['image_next'],,,,,,,,,,,,,,,,009668,001,2023-09-28_20h52.20.047,try_music_stroop,2022.2.5,59.90011057508631,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,,12.760541099996772,12.760541099996772,12.760541099996772,12.760541099996772,space,4.881531599996379,17.6878899000003,28.499794899995322,28.499794899995322,28.499794899995322,28.499794899995322,28.499794899995322,28.499794899995322,r,0.09966959999292158,009668,001,2023-09-28_20h52.20.047,try_music_stroop,2022.2.5,59.90011057508631,
