Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,key_resp_3.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.134786599985091,9.134786599985091,7.849998655728996e-05,[0.6048611111111111],[-0.40902777777777777],[1],[0],[0],[1.2580366999900434],['image_next'],,,,,,,,,,,,,,,,,,887969,001,2023-09-29_14h20.13.048,try_music_stroop,2022.2.5,59.9397485630131,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,,,,,10.379478299990296,10.379478299990296,10.379478299990296,10.379478299990296,space,0.4337046000000555,17.557152399996994,17.557152399996994,17.557152399996994,17.557152399996994,17.557152399996994,17.557152399996994,17.557152399996994,None,0.13956829998642206,b,0.17853329997160472,887969,001,2023-09-29_14h20.13.048,try_music_stroop,2022.2.5,59.9397485630131,
30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,105,0,1,1,1,,,,,,,,,,,,,,,,,,17.857653399987612,17.857653399987612,17.857653399987612,17.857653399987612,space,1.9343647999921814,24.605810199980624,24.605810199980624,24.605810199980624,24.605810199980624,24.605810199980624,24.605810199980624,24.605810199980624,space,0.14712820001295768,None,0.12682989999302663,887969,001,2023-09-29_14h20.13.048,try_music_stroop,2022.2.5,59.9397485630131,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.86248720000731,24.86248720000731,24.86248720000731,24.86248720000731,space,0.08951049999450333,24.993066800001543,24.993066800001543,24.993066800001543,24.993066800001543,24.993066800001543,24.993066800001543,24.993066800001543,,,,,,,,,,,
