Participant1,Participant2,Participant3,Participant4,Participant5,Participant6,Participant7,Participant8,Participant9,Participant10,Participant11,Participant12,Participant13,Participant14,Participant15,Participant16,Participant17,Participant18,Participant19,Participant20,Participant21,Participant22,Participant23,Participant24,Participant25,Participant26,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,distractor.thisRepN,distractor.thisTrialN,distractor.thisN,distractor.thisIndex,word,color,correct,text_instr.started,image_next.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,text_3.started,text_2.started,key_resp.started,text_4.started,key_resp.keys,key_resp.rt,key_resp_2.started,text_5.started,stopb.started,stopl.started,stopr.started,text_6.started,key_resp_3.started,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.752137399991625,9.752137399991625,7.429999823216349e-05,[0.5840277777777778],[-0.375],[1],[0],[0],[2.809107799999765],['image_next'],,,,,,,,,,,,,,,,,653698,001,2023-09-28_20h19.59.980,try_music_stroop,2022.2.5,60.034748111215386,
30,30,105,105,60,120,120,120,105,60,105,60,30,60,120,30,30,30,105,105,60,120,120,120,105,60,0,0,0,0,,,,,,,,,,,,,,,,,,12.550765499996487,12.550765499996487,12.550765499996487,12.550765499996487,space,0.4059539000008954,43.77392579999287,43.77392579999287,43.77392579999287,43.77392579999287,43.77392579999287,43.77392579999287,43.77392579999287,space,0.24000260001048446,None,653698,001,2023-09-28_20h19.59.980,try_music_stroop,2022.2.5,60.034748111215386,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.03586209999048,44.03586209999048,44.03586209999048,44.03586209999048,space,0.22703110000293236,55.1692783000035,55.1692783000035,55.1692783000035,55.1692783000035,55.1692783000035,55.1692783000035,55.1692783000035,space,0.2084991000010632,None,,,,,,,
